# # Age,Chinese Name,Code,Country Of Origin,Dam,English Name,Foaling Date,Former Name,Import Type,Sire,_id,awt,class,code,date,dhw,dist,draw,finishTime,going,horseName,horseNo,jockey,lbw,money,odds,plc,raceCource,raceName,raceNo,road,runPos,trainer,Jockey,騎師,Win_x,Jockey2,Trainer,練馬師,Win_y,Trainer2
7,爪皇烈焰 ,T353,AUS,Princess Laya,NITRO EXPRESS,12/08/2011,Alderaanian,PP,Nadeem,5ccbfdbacce52f167aeb7a0a,133,Class 4,T353,2016-05-18 00:00:00,1144,1200M,7,1:10.30,GOOD,NITRO EXPRESS,1.0,G Lerena,3-1/4,800000,12,4,HV,NG TUNG RIVER HANDICAP,4,TURF - B Course,8 7 4,D E Ferraris,Lerena G.,雷景勳,3.0,G Lerena,Ferraris D.E.,霍利時,4.0,D E Ferraris
9,中華壹號 ,T207,IRE,Lucky Norwegian,LOVE CHUNGHWA,26/04/2010,Charter,PP,Elusive City,5ccbfdbacce52f167aeb7a0d,125,Class 4,T207,2016-05-18 00:00:00,1119,1200M,1,1:10.53,GOOD,LOVE CHUNGHWA,6.0,M L Yeung,4-3/4,800000,7,7,HV,NG TUNG RIVER HANDICAP,4,TURF - B Course,4 4 7,A Lee,Yeung M.L.,楊明綸,6.0,M L Yeung,Lee A.,李易達,6.0,A Lee
7,香江穩勝 ,T254,AUS,Miss Love,HARBOUR ALERT,21/08/2011,Harbour Alert,PP,Alert,5ccbfdbacce52f167aeb7a14,120,Class 3,T254,2016-05-18 00:00:00,1271,1000M,1,0:57.12,GOOD,HARBOUR ALERT,5.0,B Prebble,N,1165000,2.5,2,HV,SHAN PUI RIVER HANDICAP,5,TURF - B Course,3 3 2,P O'Sullivan,Prebble B.,柏寶,10.0,B Prebble,O'Sullivan P.,蘇保羅,13.0,P O'Sullivan
7,越感 ,T273,AUS,Twirling Heights,FANTASTIC FEELING,28/08/2011,Fantastic Feeling,PP,Show A Heart,5ccbfdbacce52f167aeb7a16,131,Class 3,T273,2016-05-18 00:00:00,1169,1000M,7,0:57.32,GOOD,FANTASTIC FEELING,2.0,G Lerena,1-3/4,1165000,12,4,HV,SHAN PUI RIVER HANDICAP,5,TURF - B Course,6 6 4,D E Ferraris,Lerena G.,雷景勳,3.0,G Lerena,Ferraris D.E.,霍利時,4.0,D E Ferraris
6,旅遊智者 ,V121,GB,Frabjous,TRAVEL SUCCESSOR,15/02/2013,Argentero,PP,Zoffany,5ccbfdbacce52f167aeb7a1b,122,Class 3,V121,2016-05-18 00:00:00,1092,1000M,5,0:58.37,GOOD,TRAVEL SUCCESSOR,4.0,Y T Cheng,8-1/4,1165000,216,9,HV,SHAN PUI RIVER HANDICAP,5,TURF - B Course,7 7 9,W Y So,Cheng Y.T.,鄭雨滇,4.0,Y T Cheng,So W.Y.,蘇偉賢,7.0,W Y So
7,事勝意 ,T391,NZ,Lacada,GIANT TURTLE,22/10/2011,Giant Turtle,PP,Zabeel,5ccbfdbacce52f167aeb7a2b,126,Class 4,T391,2016-05-18 00:00:00,1031,1650M,11,1:40.86,GOOD,GIANT TURTLE,6.0,D Whyte,3/4,800000,116,3,HV,KAM TIN RIVER HANDICAP,7,TURF - B Course,6 3 3 3,A Schutz,Whyte D.,韋達,7.0,D Whyte,Schutz A.,孫達志,4.0,A Schutz
9,勁勇威龍 ,S078,NZ,Annie Daly,SPINNING DANCER,04/09/2009,Spinning Dancer,PP,Commands,5ccbfdbacce52f167aeb7a2e,131,Class 4,S078,2016-05-18 00:00:00,1015,1650M,5,1:41.18,GOOD,SPINNING DANCER,3.0,G Lerena,2-3/4,800000,11,6,HV,KAM TIN RIVER HANDICAP,7,TURF - B Course,7 8 9 6,S Woods,Lerena G.,雷景勳,3.0,G Lerena,Woods S.,胡森,5.0,S Woods
8,勇駒 ,S260,NZ,Enzed,HEROIC GURU,01/11/2010,Heroic Guru,PP,Gallant Guru,5ccbfdbacce52f167aeb7a36,130,Class 3,S260,2016-05-18 00:00:00,1062,1650M,6,1:40.55,GOOD,HEROIC GURU,2.0,B Prebble,SH,1165000,7.7,2,HV,TAI SHING STREAM HANDICAP,8,TURF - B Course,9 9 9 2,D J Hall,Prebble B.,柏寶,10.0,B Prebble,Hall D.J.,賀賢,8.0,D J Hall
6,勁有波幅 ,V081,AUS,Strikeline,HIGH VOLATILITY,03/11/2012,The Barrister,PP,Star Witness,5ccbfdbacce52f167aeb7a40,118,Class 3,V081,2016-05-18 00:00:00,1176,1650M,9,1:41.67,GOOD,HIGH VOLATILITY,8.0,C K Tong,7-1/4,1165000,113,12,HV,TAI SHING STREAM HANDICAP,8,TURF - B Course,2 3 5 12,K W Lui,Tong C.K.,湯智傑,0.0,C K Tong,Lui K.W.,呂健威,11.0,K W Lui
7,開心神駒 ,T200,AUS,Stand By Your Man,HIGH FIVE,03/10/2011,Copy Watch,PP,Time Thief,5ccbfdbacce52f167aeb7a45,123,Class 2,T200,2016-05-18 00:00:00,1042,1200M,4,1:09.73,GOOD,HIGH FIVE,6.0,D Whyte,2-1/4,1650000,17,5,HV,TAN SHAN RIVER HANDICAP,9,TURF - B Course,6 7 5,A T Millard,Whyte D.,韋達,7.0,D Whyte,Millard A.T.,苗禮德,8.0,A T Millard
7,彩福 ,T371,AUS,Mezentseva,MIDNIGHT RATTLER,10/11/2011,Midnight Rattler,PP,Clang,5ccbfdbacce52f167aeb7a4b,120,Class 2,T371,2016-05-18 00:00:00,---,1200M,---,---,GOOD,MIDNIGHT RATTLER,9.0,C Schofield,---,1650000,---,WX,HV,TAN SHAN RIVER HANDICAP,9,TURF - B Course,---,J Moore,Schofield C.,史卓豐,7.0,C Schofield,Moore J.,約翰摩亞,10.0,J Moore
9,威勢之寶 ,P425,IRE,Irish Style,IMPERIAL CONCORDE,28/01/2010,Imperial Concorde,PP,High Chaparral,5ccbfdbacce52f167aeb7a63,115,Class 4,P425,2016-05-14 00:00:00,1144,1650M,11,1:39.77,WET SLOW,IMPERIAL CONCORDE,13.0,M Chadwick,7-1/2,800000,12,9,ST,LEI YUE MUN PARK HANDICAP,2,ALL WEATHER TRACK,13 11 11 9,S Woods,Chadwick M.,蔡明紹,4.0,M Chadwick,Woods S.,胡森,5.0,S Woods
6,聚歡笑 ,T282,AUS,Trois Couleurs,MUTUAL JOY,02/09/2012,----,PPG,Snitzel,5ccbfdbacce52f167aeb7a6f,121,Class 4,T282,2016-05-14 00:00:00,1038,1400M,13,1:23.97,GOOD,MUTUAL JOY,7.0,T H So,5-3/4,800000,9.7,8,ST,LUNG MUN ROAD HANDICAP,3,TURF - C+3 Course,7 9 10 8,L Ho,So T.H.,蘇狄雄,4.0,T H So,Ho L.,何良,8.0,L Ho
7,航天勇將 ,V010,AUS,Hint Of Glory,MANFUL STAR,29/10/2011,----,PPG,Northern Meteor,5ccbfdbacce52f167aeb7a75,123,Class 4,V010,2016-05-14 00:00:00,1112,1400M,8,1:26.31,GOOD,MANFUL STAR,6.0,O Bosson,20-1/2,800000,103,14,ST,LUNG MUN ROAD HANDICAP,3,TURF - C+3 Course,8 6 7 14,P F Yiu,Bosson O.,寶遜,4.0,O Bosson,Yiu P.F.,姚本輝,7.0,P F Yiu
7,金飯碗 ,T289,GB,Lalectra,SHOWING CHARACTER,15/04/2012,Showing Character,PP,Showcasing,5ccbfdbacce52f167aeb7a7a,123,Class 4,T289,2016-05-14 00:00:00,1071,1000M,10,0:57.04,GOOD,SHOWING CHARACTER,13.0,B Prebble,4-1/4,800000,15,5,ST,LEI YUE MUN PUBLIC RIDING SCHOOL HANDICAP,4,TURF - C+3 Course,12 9 5,D E Ferraris,Prebble B.,柏寶,10.0,B Prebble,Ferraris D.E.,霍利時,4.0,D E Ferraris
6,按得澄 ,V266,NZ,Teardrop Island,SUN TOUCH,19/08/2012,Invention World,PP,Rip Van Winkle,5ccbfdbacce52f167aeb7a88,120,Class 3,V266,2016-05-14 00:00:00,1183,1200M,10,1:09.62,GOOD,SUN TOUCH,7.0,Z Purton,1-3/4,1165000,2.7,5,ST,TUEN MUN PUBLIC RIDING SCHOOL HANDICAP,5,TURF - C+3 Course,4 4 5,C S Shum,Purton Z.,潘頓,15.0,Z Purton,Shum C.S.,沈集成,12.0,C S Shum
7,老友記 ,T313,AUS,La Falette,BORNTOACHIEVE,04/10/2011,Borntoachieve,PP,Bernardini,5ccbfdbacce52f167aeb7a89,120,Class 3,T313,2016-05-14 00:00:00,1100,1200M,8,1:09.78,GOOD,BORNTOACHIEVE,3.0,H N Wong,2-3/4,1165000,115,6,ST,TUEN MUN PUBLIC RIDING SCHOOL HANDICAP,5,TURF - C+3 Course,1 1 6,Y S Tsui,Wong H.N.,黃皓楠,6.0,H N Wong,Tsui Y.S.,徐雨石,8.0,Y S Tsui
7,閃耀鑽皇 ,S347,NZ,The Dazzler,DIAMOND KING,03/09/2011,----,ISG,O'Reilly,5ccbfdbacce52f167aeb7a8e,120,Class 3,S347,2016-05-14 00:00:00,1115,1200M,9,1:10.13,GOOD,DIAMOND KING,6.0,Y T Cheng,5,1165000,8.2,11,ST,TUEN MUN PUBLIC RIDING SCHOOL HANDICAP,5,TURF - C+3 Course,9 11 11,T P Yung,Cheng Y.T.,鄭雨滇,4.0,Y T Cheng,Yung T.P.,容天鵬,7.0,T P Yung
6,競駿時代 ,V116,GB,Age Of Chivalry,YOUNG EMPIRE,17/02/2013,Age Of Empire,PP,Royal Applause,5ccbfdbacce52f167aeb7a8f,112,Class 3,V116,2016-05-14 00:00:00,1008,1200M,4,1:12.44,GOOD,YOUNG EMPIRE,10.0,M L Yeung,19-1/4,1165000,207,12,ST,TUEN MUN PUBLIC RIDING SCHOOL HANDICAP,5,TURF - C+3 Course,5 7 12,W Y So,Yeung M.L.,楊明綸,6.0,M L Yeung,So W.Y.,蘇偉賢,7.0,W Y So
7,皇龍大將 ,T400,AUS,Grey Deceiver,DRAGON GENERAL,23/09/2011,Casper's Ghost,PP,Reaan,5ccbfdbacce52f167aeb7a92,125,Class 3,T400,2016-05-14 00:00:00,1100,1000M,8,0:56.76,GOOD,DRAGON GENERAL,8.0,O Bosson,N,1165000,40,3,ST,POK FU LAM PUBLIC RIDING SCHOOL HANDICAP,6,TURF - C+3 Course,3 3 3,Y S Tsui,Bosson O.,寶遜,4.0,O Bosson,Tsui Y.S.,徐雨石,8.0,Y S Tsui
7,鑽飾飛龍 ,V002,AUS,Umatilly,DIAMOND DRAGON,14/11/2011,Diamond Dragon,PP,Not A Single Doubt,5ccbfdbacce52f167aeb7a99,122,Class 3,V002,2016-05-14 00:00:00,1104,1000M,4,0:57.70,GOOD,DIAMOND DRAGON,6.0,K K Chiong,6-1/4,1165000,8.2,10,ST,POK FU LAM PUBLIC RIDING SCHOOL HANDICAP,6,TURF - C+3 Course,14 13 10,K W Lui,Chiong K.K.,蔣嘉琦,12.0,K K Chiong,Lui K.W.,呂健威,11.0,K W Lui
8,旅遊首席 ,T098,IRE,Starship,TRAVEL FIRST,19/03/2011,Bilimbi,PP,Duke Of Marmalade,5ccbfdbacce52f167aeb7a9f,125,Class 3,T098,2016-05-14 00:00:00,1193,1650M,1,1:37.70,WET SLOW,TRAVEL FIRST,4.0,K K Chiong,-,1165000,4.8,1,ST,THE HONG KONG RIDING FOR THE DISABLED ASSOCIATION CUP (HANDICAP),7,ALL WEATHER TRACK,1 2 2 1,C H Yip,Chiong K.K.,蔣嘉琦,12.0,K K Chiong,Yip C.H.,葉楚航,7.0,C H Yip
8,歡樂小子 ,S235,AUS,Grilse,ULTIMATE GLORY,16/11/2010,Ultimate Glory,PP,Exceed And Excel,5ccbfdbacce52f167aeb7aa1,131,Class 3,S235,2016-05-14 00:00:00,1215,1650M,6,1:37.71,WET SLOW,ULTIMATE GLORY,7.0,H W Lai,NOSE,1165000,10,2,ST,THE HONG KONG RIDING FOR THE DISABLED ASSOCIATION CUP (HANDICAP),7,ALL WEATHER TRACK,4 6 7 2,K L Man,Lai H.W.,黎海榮,4.0,H W Lai,Man K.L.,文家良,8.0,K L Man
8,勁嘉輝 ,T236,AUS,Myrrh,ENORMOUS HONOUR,22/10/2010,Enormous Honour,PP,Encosta de Lago,5ccbfdbacce52f167aeb7ab1,126,Class 3,T236,2016-05-14 00:00:00,1126,1400M,3,1:22.07,GOOD,ENORMOUS HONOUR,1.0,K K Chiong,1,1165000,8.5,4,ST,POK FU LAM COUNTRY PARK HANDICAP,8,TURF - C+3 Course,6 6 4 4,Y S Tsui,Chiong K.K.,蔣嘉琦,12.0,K K Chiong,Tsui Y.S.,徐雨石,8.0,Y S Tsui
7,添好運 ,T306,AUS,Lucky Beauty,TEAM FORTUNE,20/09/2011,Clay,PPG,I Am Invincible,5ccbfdbacce52f167aeb7ab3,117,Class 3,T306,2016-05-14 00:00:00,1131,1400M,8,1:22.13,GOOD,TEAM FORTUNE,10.0,Y T Cheng,1-1/2,1165000,44,6,ST,POK FU LAM COUNTRY PARK HANDICAP,8,TURF - C+3 Course,5 1 2 6,W Y So,Cheng Y.T.,鄭雨滇,4.0,Y T Cheng,So W.Y.,蘇偉賢,7.0,W Y So
7,明月光 ,T369,IRE,Annee Lumiere,ACCLAIMED LIGHT,18/04/2012,Acclaimed Light,PP,Acclamation,5ccbfdbacce52f167aeb7ab4,112,Class 3,T369,2016-05-14 00:00:00,1013,1400M,14,1:22.52,GOOD,ACCLAIMED LIGHT,14.0,M L Yeung,4,1165000,78,7,ST,POK FU LAM COUNTRY PARK HANDICAP,8,TURF - C+3 Course,4 2 1 7,P O'Sullivan,Yeung M.L.,楊明綸,6.0,M L Yeung,O'Sullivan P.,蘇保羅,13.0,P O'Sullivan
7,勇霸神駒 ,T403,AUS,Gypsy Mai,KINGSFIELD,28/10/2011,Rom Baro,PP,Time Thief,5ccbfdbacce52f167aeb7ab5,126,Class 3,T403,2016-05-14 00:00:00,1101,1400M,7,1:22.53,GOOD,KINGSFIELD,6.0,Z Purton,4,1165000,11,8,ST,POK FU LAM COUNTRY PARK HANDICAP,8,TURF - C+3 Course,3 5 6 8,R Gibson,Purton Z.,潘頓,15.0,Z Purton,Gibson R.,高伯新,5.0,R Gibson
6,人民武士 ,T305,AUS,Allegra,PEOPLE'S KNIGHT,22/10/2012,----,PPG,Exceed And Excel,5ccbfdbacce52f167aeb7ab7,129,Class 3,T305,2016-05-14 00:00:00,1171,1400M,1,1:22.58,GOOD,PEOPLE'S KNIGHT,4.0,J Moreira,4-1/4,1165000,2.1,10,ST,POK FU LAM COUNTRY PARK HANDICAP,8,TURF - C+3 Course,12 10 10 10,J Moore,Moreira J.,莫雷拉,25.0,J Moreira,Moore J.,約翰摩亞,10.0,J Moore
7,壯思飛 ,V110,IRE,Bargouzine,JOYFUL TRINITY,04/03/2012,Baghadur,PP,Zanzibari,5ccbfdbacce52f167aeb7abd,119,Class 2,V110,2016-05-14 00:00:00,1138,1400M,10,1:21.71,GOOD,JOYFUL TRINITY,5.0,J Moreira,-,1650000,4,1,ST,THE SKOL CUP (HANDICAP),9,TURF - C+3 Course,7 8 5 1,J Moore,Moreira J.,莫雷拉,25.0,J Moreira,Moore J.,約翰摩亞,10.0,J Moore
7,神威敖翔 ,V150,AUS,Thunder Belle,MIGHTY MAVERICK,18/09/2011,Mighty Maverick,PP,Snitzel,5ccbfdbacce52f167aeb7ac3,116,Class 2,V150,2016-05-14 00:00:00,1135,1400M,7,1:22.25,GOOD,MIGHTY MAVERICK,13.0,C Schofield,3-1/2,1650000,3.9,7,ST,THE SKOL CUP (HANDICAP),9,TURF - C+3 Course,3 4 4 7,D Cruz,Schofield C.,史卓豐,7.0,C Schofield,Cruz D.,告達理,5.0,D Cruz
8,藍天堡馬 ,T186,GB,Jarhes,FIGHT HERO,07/02/2011,Imperiator,PP,Footstepsinthesand,5ccbfdbacce52f167aeb7ac8,111,Class 2,T186,2016-05-14 00:00:00,1140,1400M,2,1:23.09,GOOD,FIGHT HERO,7.0,H N Wong,8-3/4,1650000,188,12,ST,THE SKOL CUP (HANDICAP),9,TURF - C+3 Course,11 11 12 12,Y S Tsui,Wong H.N.,黃皓楠,6.0,H N Wong,Tsui Y.S.,徐雨石,8.0,Y S Tsui
7,豐彩皇 ,V118,IRE,Kushnarenkovo,GORGEOUS KING,08/05/2012,Cape Clear Island,PP,Fastnet Rock,5ccbfdbacce52f167aeb7ac9,115,Class 2,V118,2016-05-14 00:00:00,1156,1400M,4,1:24.61,GOOD,GORGEOUS KING,11.0,H W Lai,18-1/4,1650000,384,13,ST,THE SKOL CUP (HANDICAP),9,TURF - C+3 Course,13 13 13 13,K W Lui,Lai H.W.,黎海榮,4.0,H W Lai,Lui K.W.,呂健威,11.0,K W Lui
7,君臨大地 ,V192,FR,Wings Of Glory,AMAZING AGILITY,20/04/2012,Ajalo,PP,King's Best,5ccbfdbacce52f167aeb7ad2,116,Class 2,V192,2016-05-14 00:00:00,994,1800M,5,1:47.59,GOOD,AMAZING AGILITY,14.0,C Schofield,6,1650000,78,8,ST,POK FU LAM RESERVOIR ROAD HANDICAP,10,TURF - C+3 Course,8 9 9 11 8,D E Ferraris,Schofield C.,史卓豐,7.0,C Schofield,Ferraris D.E.,霍利時,4.0,D E Ferraris
7,閃電王 ,V013,NZ,Creil,MCQUEEN,09/11/2011,Mcqueen,PP,Alamosa,5ccbfdbacce52f167aeb7ad4,111,Class 2,V013,2016-05-14 00:00:00,1042,1800M,4,1:47.94,GOOD,MCQUEEN,9.0,K K Chiong,8-1/4,1650000,5.5,10,ST,POK FU LAM RESERVOIR ROAD HANDICAP,10,TURF - C+3 Course,3 3 3 5 10,D Cruz,Chiong K.K.,蔣嘉琦,12.0,K K Chiong,Cruz D.,告達理,5.0,D Cruz
7,歐洲之星 ,T336,IRE,Ursula Minor,GLORY STAR,04/04/2012,----,ISG,High Chaparral,5ccbfdbacce52f167aeb7ae6,128,Class 5,T336,2016-05-11 00:00:00,1075,1800M,3,1:49.39,GOOD,GLORY STAR,5.0,Z Purton,-,600000,4.2,1,HV,FRANCE GALOP OWNERS DEPARTMENT HANDICAP,2,TURF - A Course,2 3 4 2 1,C S Shum,Purton Z.,潘頓,15.0,Z Purton,Shum C.S.,沈集成,12.0,C S Shum
8,金碧輝煌 ,T076,NZ,Victoria Bay,GOLDEN GLORY,08/09/2010,Burgundian,PP,Patapan,5ccbfdbacce52f167aeb7af6,132,Class 4,T076,2016-05-11 00:00:00,1054,1200M,4,1:10.97,GOOD,GOLDEN GLORY,1.0,K Teetan,6,800000,13,5,HV,LONGCHAMP RACECOURSE HANDICAP,3,TURF - A Course,2 3 5,A Lee,Teetan K.,田泰安,8.0,K Teetan,Lee A.,李易達,6.0,A Lee
7,越跑越好 ,T140,NZ,Sweet Vibes,NEVER BETTER,01/09/2011,----,PPG,Red Giant,5ccbfdbacce52f167aeb7aff,122,Class 4,T140,2016-05-11 00:00:00,1141,1200M,2,1:10.30,GOOD,NEVER BETTER,9.0,D Whyte,N,800000,2.5,2,HV,DEAUVILLE AUGUST YEARLING SALES HANDICAP,4,TURF - A Course,6 6 2,P O'Sullivan,Whyte D.,韋達,7.0,D Whyte,O'Sullivan P.,蘇保羅,13.0,P O'Sullivan
9,確威龍 ,P190,GB,Gee Kel,COUR VALANT,09/02/2010,Cour Valant,PP,Bahamian Bounty,5ccbfdbacce52f167aeb7b01,133,Class 4,P190,2016-05-11 00:00:00,1033,1200M,1,1:10.49,GOOD,COUR VALANT,1.0,C Schofield,1-1/2,800000,9.9,4,HV,DEAUVILLE AUGUST YEARLING SALES HANDICAP,4,TURF - A Course,9 8 4,C H Yip,Schofield C.,史卓豐,7.0,C Schofield,Yip C.H.,葉楚航,7.0,C H Yip
7,大龍騰 ,T381,AUS,Sweet Maggie,MASSIVE MILLENNIUM,30/08/2011,Vinnie Eagle,PP,I Am Invincible,5ccbfdbacce52f167aeb7b02,133,Class 4,T381,2016-05-11 00:00:00,1149,1200M,7,1:10.80,GOOD,MASSIVE MILLENNIUM,2.0,B Prebble,3-1/2,800000,13,5,HV,DEAUVILLE AUGUST YEARLING SALES HANDICAP,4,TURF - A Course,11 11 5,D E Ferraris,Prebble B.,柏寶,10.0,B Prebble,Ferraris D.E.,霍利時,4.0,D E Ferraris
8,麯院風荷 ,T112,IRE,Ebadiyla,LOTUS BREEZE,13/03/2011,Ebanoran,PP,Oasis Dream,5ccbfdbacce52f167aeb7b0f,123,Class 3,T112,2016-05-11 00:00:00,1064,1200M,4,1:10.52,GOOD,LOTUS BREEZE,8.0,K C Leung,3-1/4,1165000,6.3,6,HV,LE FRENCH MAY TROPHY (HANDICAP),5,TURF - A Course,7 8 6,W Y So,Leung K.C.,梁家俊,6.0,K C Leung,So W.Y.,蘇偉賢,7.0,W Y So
6,提款機 ,V093,NZ,Coimbra,LAMAROSA,14/09/2012,Lamarosa,PP,Postponed,5ccbfdbacce52f167aeb7b13,123,Class 3,V093,2016-05-11 00:00:00,1151,1200M,11,1:11.16,GOOD,LAMAROSA,11.0,J Moreira,7-1/2,1165000,9.9,10,HV,LE FRENCH MAY TROPHY (HANDICAP),5,TURF - A Course,4 3 10,P O'Sullivan,Moreira J.,莫雷拉,25.0,J Moreira,O'Sullivan P.,蘇保羅,13.0,P O'Sullivan
7,金碧光芒 ,T431,NZ,I'llthinkaboutit,PEARL FURU,27/11/2011,Furuvik,PP,Fully Fledged,5ccbfdbacce52f167aeb7b1c,128,Class 4,T431,2016-05-11 00:00:00,1158,1650M,3,1:41.33,GOOD,PEARL FURU,7.0,O Bosson,6-3/4,800000,7,7,HV,FRENCH RACING & BREEDING COMMITTEE HANDICAP,6,TURF - A Course,8 7 6 7,P O'Sullivan,Bosson O.,寶遜,4.0,O Bosson,O'Sullivan P.,蘇保羅,13.0,P O'Sullivan
7,可愛寶 ,T029,AUS,Minnie Deal,HO HO FEEL,13/09/2011,----,PPG,Henrythenavigator,5ccbfdbacce52f167aeb7b20,127,Class 4,T029,2016-05-11 00:00:00,1142,1650M,6,1:41.63,GOOD,HO HO FEEL,8.0,D Whyte,8-1/2,800000,5.2,11,HV,FRENCH RACING & BREEDING COMMITTEE HANDICAP,6,TURF - A Course,9 10 10 11,C H Yip,Whyte D.,韋達,7.0,D Whyte,Yip C.H.,葉楚航,7.0,C H Yip
8,騰煌 ,S447,NZ,Queen To Be,TEN FLAMES,20/10/2010,----,PPG,O'Reilly,5ccbfdbacce52f167aeb7b25,125,Class 3,S447,2016-05-11 00:00:00,1127,1800M,3,1:50.59,GOOD,TEN FLAMES,6.0,K C Leung,2-3/4,1165000,11,4,HV,THE FRANCE GALOP CUP (HANDICAP),7,TURF - A Course,1 1 2 3 4,L Ho,Leung K.C.,梁家俊,6.0,K C Leung,Ho L.,何良,8.0,L Ho
7,小島怡情 ,T390,NZ,Keep Alight,LITTLE ISLAND,04/10/2011,Midnitemagicman,PP,Tavistock,5ccbfdbacce52f167aeb7b27,121,Class 3,T390,2016-05-11 00:00:00,1003,1800M,7,1:50.70,GOOD,LITTLE ISLAND,5.0,K K Chiong,3-1/2,1165000,10,6,HV,THE FRANCE GALOP CUP (HANDICAP),7,TURF - A Course,3 3 3 2 6,K L Man,Chiong K.K.,蔣嘉琦,12.0,K K Chiong,Man K.L.,文家良,8.0,K L Man
8,非常堅 ,T146,IRE,Luas Line,JOLLY GENE,30/01/2011,Impulsive Moment,PP,Galileo,5ccbfdbacce52f167aeb7b2c,132,Class 3,T146,2016-05-11 00:00:00,1075,1800M,1,1:50.97,GOOD,JOLLY GENE,2.0,M Chadwick,5,1165000,7.7,11,HV,THE FRANCE GALOP CUP (HANDICAP),7,TURF - A Course,6 5 5 6 11,A S Cruz,Chadwick M.,蔡明紹,4.0,M Chadwick,Cruz A.S.,告東尼,9.0,A S Cruz
7,萬事欣 ,T129,AUS,Fairy Tree,MULTIMAX,24/09/2011,Magical Jester,PPG,Court Command,5ccbfdbacce52f167aeb7b31,110,Class 3,T129,2016-05-11 00:00:00,1137,1200M,9,1:10.65,GOOD,MULTIMAX,12.0,K C Ng,1-1/4,1165000,16,4,HV,ARC DE TRIOMPHE CHAMPIONS HANDICAP,8,TURF - A Course,2 1 4,A S Cruz,Ng K.C.,吳嘉晉,2.0,K C Ng,Cruz A.S.,告東尼,9.0,A S Cruz
7,飛星凱旋 ,T352,AUS,Fidele,ROUNDABOUT,09/11/2011,Roundabout,PP,I Am Invincible,5ccbfdbacce52f167aeb7b38,118,Class 3,T352,2016-05-11 00:00:00,1106,1200M,2,1:11.43,GOOD,ROUNDABOUT,8.0,K C Leung,6-1/4,1165000,11,11,HV,ARC DE TRIOMPHE CHAMPIONS HANDICAP,8,TURF - A Course,6 7 11,W Y So,Leung K.C.,梁家俊,6.0,K C Leung,So W.Y.,蘇偉賢,7.0,W Y So
6,好友益 ,T265,NZ,La Serenissime,GOOD FOR YOU,23/09/2012,----,PPG,Thorn Park,5ccbfdbacce52f167aeb7b4a,109,Class 4,T265,2016-05-07 00:00:00,974,1600M,8,1:36.18,GOOD,GOOD FOR YOU,14.0,H N Wong,5,800000,11,5,ST,THE CHEUNG CUP (HANDICAP),2,TURF - C Course,2 2 2 5,Y S Tsui,Wong H.N.,黃皓楠,6.0,H N Wong,Tsui Y.S.,徐雨石,8.0,Y S Tsui
6,塑料喜 ,T326,NZ,Savamour,POLYMER LUCK,25/08/2012,----,ISG,Pins,5ccbfdbacce52f167aeb7b4c,120,Class 4,T326,2016-05-07 00:00:00,1051,1600M,11,1:36.30,GOOD,POLYMER LUCK,12.0,H W Lai,5-3/4,800000,152,7,ST,THE CHEUNG CUP (HANDICAP),2,TURF - C Course,14 13 12 7,P F Yiu,Lai H.W.,黎海榮,4.0,H W Lai,Yiu P.F.,姚本輝,7.0,P F Yiu
7,發盈喜 ,T005,NZ,Beautiful Unicorn,FABULOUS ONE,03/10/2011,Where's Noah,PPG,Elusive City,5ccbfdbacce52f167aeb7b55,126,Class 2,T005,2016-05-07 00:00:00,1110,1000M,8,0:55.72,GOOD,FABULOUS ONE,4.0,Z Purton,HD,1650000,2.5,2,ST,THE MACWHINNIE CUP (HANDICAP),3,TURF - C Course,2 1 2,W Y So,Purton Z.,潘頓,15.0,Z Purton,So W.Y.,蘇偉賢,7.0,W Y So
7,騰龍超影 ,T372,AUS,Borobodur,HARRIER JET,05/09/2011,Harrier Jet,PP,Dane Shadow,5ccbfdbacce52f167aeb7b59,113,Class 2,T372,2016-05-07 00:00:00,1131,1000M,4,0:56.00,GOOD,HARRIER JET,8.0,K C Leung,2,1650000,9.4,6,ST,THE MACWHINNIE CUP (HANDICAP),3,TURF - C Course,5 6 6,P O'Sullivan,Leung K.C.,梁家俊,6.0,K C Leung,O'Sullivan P.,蘇保羅,13.0,P O'Sullivan
7,勇冠王 ,T028,NZ,Reflection,IMPERIAL GALLANTRY,06/10/2011,----,PPG,Guillotine,5ccbfdbacce52f167aeb7b64,133,Class 4,T028,2016-05-07 00:00:00,1119,1800M,6,1:49.24,GOOD,IMPERIAL GALLANTRY,1.0,N Callan,3,800000,6.6,8,ST,THE PURVES QUAICH (HANDICAP),4,TURF - C Course,6 8 8 10 8,P O'Sullivan,Callan N.,郭能,8.0,N Callan,O'Sullivan P.,蘇保羅,13.0,P O'Sullivan
6,夢幻仙子 ,V222,AUS,Desert Gardens,FAIRY TWINS,03/10/2012,Coyote Springs,PPG,Oamaru Force,5ccbfdbacce52f167aeb7b6e,133,Class 4,V222,2016-05-07 00:00:00,1169,1200M,3,1:10.00,GOOD,FAIRY TWINS,1.0,J Moreira,1,800000,3.2,4,ST,THE SWAINE CUP (HANDICAP),5,TURF - C Course,5 7 4,W Y So,Moreira J.,莫雷拉,25.0,J Moreira,So W.Y.,蘇偉賢,7.0,W Y So
