# # Age,Chinese Name,Code,Country Of Origin,Dam,English Name,Foaling Date,Former Name,Import Type,Sire,_id,awt,class,code,date,dhw,dist,draw,finishTime,going,horseName,horseNo,jockey,lbw,money,odds,plc,raceCource,raceName,raceNo,road,runPos,trainer,Jockey,騎師,Win_x,Jockey2,Trainer,練馬師,Win_y,Trainer2
8,麯院風荷 ,T112,IRE,Ebadiyla,LOTUS BREEZE,13/03/2011,Ebanoran,PP,Oasis Dream,5ccbfdbacce52f167aeb8def,133,Class 3,T112,2015-12-02 00:00:00,1084,1200M,5,1:11.15,GOOD,LOTUS BREEZE,1.0,B Prebble,2-1/2,1165000,6.2,5,HV,SUNFLOWER HANDICAP,8,TURF - C+3 Course,6 6 5,W Y So,Prebble B.,柏寶,10.0,B Prebble,So W.Y.,蘇偉賢,7.0,W Y So
8,有衝勁 ,T220,GB,Chinese White,BEST EFFORT,25/03/2011,Chinese Jade,PP,Cape Cross,5ccbfdbacce52f167aeb8df2,121,Class 3,T220,2015-12-02 00:00:00,1016,1200M,8,1:11.66,GOOD,BEST EFFORT,6.0,V Cheminaud,5-3/4,1165000,131,8,HV,SUNFLOWER HANDICAP,8,TURF - C+3 Course,11 10 8,A Schutz,Cheminaud V.,湛明諾,6.0,V Cheminaud,Schutz A.,孫達志,4.0,A Schutz
9,確威龍 ,P190,GB,Gee Kel,COUR VALANT,09/02/2010,Cour Valant,PP,Bahamian Bounty,5ccbfdbacce52f167aeb8df5,120,Class 3,P190,2015-12-02 00:00:00,1055,1200M,10,1:18.35,GOOD,COUR VALANT,10.0,Z Purton,47-1/2,1165000,16,11,HV,SUNFLOWER HANDICAP,8,TURF - C+3 Course,12 11 11,C H Yip,Purton Z.,潘頓,15.0,Z Purton,Yip C.H.,葉楚航,7.0,C H Yip
7,合作愉快 ,T392,NZ,Dolly Disaster,HAPPY COOPERATION,08/11/2011,----,PPG,Elusive City,5ccbfdbacce52f167aeb8e15,127,Class 4,T392,2015-11-29 00:00:00,1165,1200M,2,1:09.95,GOOD,HAPPY COOPERATION,5.0,Z Purton,1/2,800000,2.1,2,ST,CHEVALIER CONSTRUCTION HANDICAP,3,TURF - C Course,1 1 2,T P Yung,Purton Z.,潘頓,15.0,Z Purton,Yung T.P.,容天鵬,7.0,T P Yung
7,祥勝駿駒 ,T331,GB,Dixie Belle,ACE KING,19/05/2012,----,ISG,Exceed And Excel,5ccbfdbacce52f167aeb8e1c,118,Class 4,T331,2015-11-29 00:00:00,1125,1200M,9,1:11.24,GOOD,ACE KING,3.0,H N Wong,8-3/4,800000,42,9,ST,CHEVALIER CONSTRUCTION HANDICAP,3,TURF - C Course,5 8 9,L Ho,Wong H.N.,黃皓楠,6.0,H N Wong,Ho L.,何良,8.0,L Ho
6,一片光明 ,T268,AUS,Karedane,NEW ASIA SUNRISE,30/10/2012,----,PPG,Written Tycoon,5ccbfdbacce52f167aeb8e20,128,Class 3,T268,2015-11-29 00:00:00,1000,1200M,2,1:09.14,GOOD,NEW ASIA SUNRISE,2.0,B Prebble,2-1/4,1165000,2.6,2,ST,CHEVALIER E & M ENGINEERING HANDICAP,4,TURF - C Course,3 2 2,Y S Tsui,Prebble B.,柏寶,10.0,B Prebble,Tsui Y.S.,徐雨石,8.0,Y S Tsui
7,小米周 ,T355,AUS,Bani Yas,LUCKY GIRL,25/09/2011,More Soccer,PP,Onemorenomore,5ccbfdbacce52f167aeb8e21,121,Class 3,T355,2015-11-29 00:00:00,1187,1200M,8,1:09.54,GOOD,LUCKY GIRL,10.0,G Mosse,5,1165000,21,5,ST,CHEVALIER E & M ENGINEERING HANDICAP,4,TURF - C Course,11 9 5,C H Yip,Mosse G.,巫斯義,6.0,G Mosse,Yip C.H.,葉楚航,7.0,C H Yip
7,發盈喜 ,T005,NZ,Beautiful Unicorn,FABULOUS ONE,03/10/2011,Where's Noah,PPG,Elusive City,5ccbfdbacce52f167aeb8e28,129,Class 3,T005,2015-11-29 00:00:00,1098,1200M,11,1:08.76,GOOD,FABULOUS ONE,1.0,Z Purton,-,1165000,2,1,ST,CHEVALIER E & M ENGINEERING HANDICAP,4,TURF - C Course,1 1 1,W Y So,Purton Z.,潘頓,15.0,Z Purton,So W.Y.,蘇偉賢,7.0,W Y So
7,勇冠王 ,T028,NZ,Reflection,IMPERIAL GALLANTRY,06/10/2011,----,PPG,Guillotine,5ccbfdbacce52f167aeb8e2f,127,Class 4,T028,2015-11-29 00:00:00,1110,1600M,2,1:37.29,GOOD,IMPERIAL GALLANTRY,6.0,D Whyte,5-1/2,800000,2.8,7,ST,CHEVALIER ENVIRONMENTAL ENGINEERING HANDICAP,5,TURF - C Course,9 12 12 7,P O'Sullivan,Whyte D.,韋達,7.0,D Whyte,O'Sullivan P.,蘇保羅,13.0,P O'Sullivan
6,好友益 ,T265,NZ,La Serenissime,GOOD FOR YOU,23/09/2012,----,PPG,Thorn Park,5ccbfdbacce52f167aeb8e3d,118,Class 4,T265,2015-11-29 00:00:00,998,1400M,12,1:22.70,GOOD,GOOD FOR YOU,13.0,Y T Cheng,1,800000,27,3,ST,CHEVALIER INSURANCE AND INVESTMENT HANDICAP,6,TURF - C Course,5 7 5 3,Y S Tsui,Cheng Y.T.,鄭雨滇,4.0,Y T Cheng,Tsui Y.S.,徐雨石,8.0,Y S Tsui
