Jockey,騎師,1ST,1DH,2ND,2DH,3RD,3DH,4TH,4DH,5TH,5DH,STARTS,STAKES,Win%
Cheminaud V.,湛明諾,6,--,8,--,2,--,4,--,2,--,97,8602350.00,6.2%
Ng K.C.,吳嘉晉,6,--,7,--,14,--,12,--,18,--,291,9116525.00,2.1%
Benoist G.,貝諾華,5,--,5,1,11,1,5,1,14,--,91,5870762.50,5.5%
Bowman H.,布文,5,--,3,--,4,--,1,--,2,1,38,31927500.00,13.2%
Lerena G.,雷景勳,5,1,5,--,17,--,11,--,10,--,152,6293210.00,3.3%
Berry T.,貝湯美,4,--,5,--,3,--,4,--,3,--,33,15993475.00,12.1%
Bosson O.,寶遜,4,--,4,--,6,--,9,--,6,--,95,4016550.00,4.2%
Soumillon C.,蘇銘倫,2,--,4,--,1,--,2,--,1,--,14,21534000.00,14.3%
Angland T.,安國倫,2,--,0,--,1,--,0,--,0,--,10,1101750.00,20.0%
Tong C.K.,湯智傑,1,--,5,--,7,--,5,--,13,1,263,2936662.50,0.4%
Lai W.M.,賴維銘,1,--,2,--,2,--,0,--,2,--,37,1173775.00,2.7%
Schofield G.,史科菲,1,--,2,--,1,--,1,--,0,--,11,1304800.00,9.1%
da Silva E.,姚力高,1,--,1,--,2,--,3,--,3,--,28,1255700.00,3.6%
Brown C.,白布朗,1,--,1,--,1,--,2,--,2,--,13,1140625.00,7.7%
Williams C.,韋紀力,1,--,1,--,0,--,0,--,0,--,10,1668500.00,10.0%
Lane D.,連達文,1,--,0,--,0,--,0,--,0,--,4,456000.00,25.0%
Salles L.,沈駱士,1,--,0,--,0,--,0,--,0,--,4,456000.00,25.0%
Take Y.,武豊,1,--,0,--,0,--,0,--,0,--,2,14650000.00,50.0%
Tosaki K.,戶崎圭太,1,1,0,--,1,--,0,--,1,--,6,538530.00,16.7%
Rispoli U.,李寶利,0,--,4,--,2,--,4,--,2,--,25,2108600.00,0.0%
Suborics A.,薛寶力,0,--,1,--,0,--,0,--,2,--,5,237775.00,0.0%
Oliver D.,岳禮華,0,--,1,--,0,--,0,--,1,--,3,1188000.00,0.0%
Guyon M.,紀仁安,0,--,1,--,0,--,0,--,0,--,4,211200.00,0.0%
Corrales L.,高君濤,0,--,1,--,0,--,0,--,0,--,1,660000.00,0.0%
McDonald J.,麥道朗,0,--,0,--,0,--,2,--,1,--,7,777200.00,0.0%
Peslier O.,柏兆雷,0,--,0,--,0,--,1,--,0,--,4,570000.00,0.0%
Boudot P-C,布達德,0,--,0,--,0,--,1,--,0,--,1,1311000.00,0.0%
Demuro M.,杜滿萊,0,--,0,--,0,--,0,--,1,--,6,57750.00,0.0%
Rodd M.,羅達,0,--,0,--,0,--,0,--,1,--,6,28000.00,0.0%
Geroux F.,鄭朗升,0,--,0,--,0,--,0,--,1,--,1,610500.00,0.0%
Shinn B.,薛恩,0,--,0,--,0,--,0,--,0,--,6,0.00,0.0%
Espinoza V.,伊偉舵,0,--,0,--,0,--,0,--,0,--,4,0.00,0.0%
Smullen P.,施慕齡,0,--,0,--,0,--,0,--,0,--,3,0.00,0.0%
Barzalona M.,巴米高,0,--,0,--,0,--,0,--,0,--,2,200000.00,0.0%
Ho W.L.,何華麟,0,--,0,--,0,--,0,--,0,--,2,0.00,0.0%
Browne D.,白博萊,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Chong D.,鍾駿緯,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Doyle J.,杜俊誠,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Ebina M.,蛯名正義,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Hamanaka S.,濱中俊,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Hayes C.,基士希斯,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Jarnet T.,查爾尼,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Rosario J.,羅沙理奧,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Tudhope D.,杜漢培,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
Wong C.F.,王峻鋒,0,--,0,--,0,--,0,--,0,--,1,0.00,0.0%
