Chinese Name,Code,English Name,Former Name,Sire,Dam,Import Type,Country Of Origin,Age,Foaling Date
,C387,C387,----,Street Boss,Little Fishes,PPG,AUS,3,16/09/2015
,C396,C396,Shanghai Lad,Spirit Of Boom,Figure,PPG,AUS,2,01/09/2016
,C398,C398,Wiesenbach,Jukebox Jury,Wurfscheibe,PP,GB,4,23/04/2015
,C402,C402,----,Acclamation,Insaaf,ISG,GB,3,06/02/2016
,C403,C403,----,Choisir,Couredge,ISG,AUS,3,27/08/2015
,C406,C406,----,Exceed And Excel,Emotional Circus,ISG,AUS,3,30/09/2015
,C408,C408,----,Hinchinbrook,Double Malt,ISG,AUS,3,30/08/2015
,C422,C422,----,Fastnet Rock,Silent Cash,ISG,AUS,3,21/09/2015
,C424,C424,----,Declaration Of War,Love All,ISG,AUS,3,08/09/2015
,C427,C427,----,Savabeel,Caesour's Promise,ISG,AUS,3,10/10/2015
,C428,C428,Total Excess,Delago Deluxe,Avail,PP,AUS,3,27/08/2015
,C432,C432,Cantstopthefeeling,Swiss Ace,Primadonna Girl,PP,NZ,3,01/11/2015
,C434,C434,----,Highly Recommended,Skite,PPG,NZ,3,19/10/2015
,C436,C436,----,Savabeel,Maxmara,PPG,NZ,2,09/10/2016
,C437,C437,----,Savabeel,Miss Montjeu,PPG,NZ,2,26/09/2016
,C438,C438,----,Starcraft,Stage Doll,PPG,AUS,3,24/09/2015
,C442,C442,Even Keel,Born To Sea,Dew,PP,IRE,3,13/02/2016
,C443,C443,Holy Heart,Holy Roman Emperor,Heart Of Ice,PP,IRE,4,30/04/2015
,C445,C445,Endeavouring,Shamardal,La Divina,PPG,IRE,3,04/02/2016
,C447,C447,Swelt,Sizzling,Midnight Dancer,PP,AUS,3,30/09/2015
,C451,C451,----,Exceed And Excel,Troubeaut,PPG,AUS,2,23/10/2016
,C452,C452,Coin Drop,Hussonet,Miss Piggy Bank,PPG,AUS,3,27/10/2015
,C454,C454,Clarico,I Am Invincible,Andromache,PPG,AUS,2,16/09/2016
,C455,C455,Vega Rhythm,Lope de Vega,Melodic,PPG,NZ,3,18/08/2015
,C456,C456,Turf Brilliant,Manhattan Rain,Paradise Lost,PPG,AUS,3,12/09/2015
,C457,C457,----,Per Incanto,Princess Annaliese,PPG,NZ,2,02/11/2016
,C458,C458,The Last Won,Coats Choice,Blue Blond,PP,NZ,3,28/10/2015
,C459,C459,----,Keeper,Zabinella,PPG,NZ,3,11/10/2015
,C460,C460,----,Per Incanto,Lutine Belle,PPG,NZ,3,29/10/2015
,C461,C461,----,Pins,Miracle Miss,PPG,NZ,2,29/08/2016
常拼常勝 ,V037,C P POWER,----,Nadeem,Miss Galileo,PPG,AUS,6,12/08/2012
加州神箭 ,A417,CALIFORNIA ARCHER,California Archer,High Chaparral,Sarasota,PP,AUS,5,15/08/2013
加州銀晉 ,C042,CALIFORNIA ARGENT,Wilderness Now,Kendargent,Full Snow Moon,PP,IRE,4,04/04/2015
加州福星 ,A415,CALIFORNIA FORTUNE,California Fortune,Fastnet Rock,Mimi Lebrock,PP,AUS,5,06/10/2013
加州更好 ,B204,CALIFORNIA GUNGHO,Less Pire,Shakespearean,Less Crazy,PP,FR,4,08/03/2015
加州明雋 ,B363,CALIFORNIA LEGEND,----,Camelot,Kiss Me Goodbye,ISG,IRE,4,08/02/2015
加州多寶 ,C077,CALIFORNIA TURBO,California Turbo,Fastnet Rock,Celebria,PP,AUS,4,31/10/2014
加州議長 ,A114,CALIFORNIA WHIP,Chief Whip,Giant's Causeway,Canterbury Lace,PP,USA,6,09/03/2013
加州金礦 ,C076,CALIFORNIAGOLDRUSH,Traminer,Dream Ahead,Viognier,PP,AUS,4,14/09/2014
話晒事 ,B239,CALLING THE SHOTS,Camelback,Exchange Rate,Pick And Choose,PP,USA,4,15/02/2015
金剛 ,B431,CAO CAO,Cao Cao,Fastnet Rock,Serenada,PP,AUS,4,15/10/2014
艦長天下 ,B096,CAPTAIN BOSS,Hailstone,Dream Ahead,Candy Ride,PP,IRE,5,18/04/2014
瀟灑王子 ,V069,CARE FREE PRINCE,Care Free Boy,Street Sense,Angora,PPG,AUS,6,21/08/2012
吉利馬王 ,V305,CARRY TO WIN,----,Smart Missile,Arms Wide Open,PPG,AUS,5,27/09/2013
步履娛飛 ,C289,CASA DE FORCA,Hombre Casado,Siyouni,Storma,PP,FR,4,31/01/2015
領航寶寶 ,C087,CASA GLORY,Casa Glory,Fastnet Rock,Avienus,PPG,AUS,3,06/11/2015
天賦致寶 ,S417,CASH COURIER,Cash Courier,Strada,Eugenie Gold,PP,AUS,8,30/09/2010
三圓䮭路 ,C149,CASIMIRO,Casimiro,Casamento,Glyndebourne,PP,IRE,5,22/02/2014
曦世寶貝 ,C439,CATRINA BABY,----,Stratum,Ruppertsberg,PPG,NZ,3,25/10/2015
金禧足球 ,A085,CELEBRATION,----,O'Reilly,One Love,PPG,NZ,5,16/10/2013
世紀愛駒 ,C051,CENTENARY ERIN,Imagine Dragon,Intense Focus,Tus Nua,PPG,IRE,4,04/03/2015
中神通 ,C444,CENTRAL EXPRESS,Gift,More Than Ready,Generosity,PPG,USA,3,04/05/2016
月追越風 ,A398,CEREFINO,Broken Heart,Fully Fledged,Honeymoonzova,PP,NZ,5,13/10/2013
齊齊上 ,B037,CHACHAUP,----,Reward For Effort,Raewyn,PPG,AUS,4,20/09/2014
嫡愛摯寶 ,C062,CHAIRMAN LO,Chairman Lo,Sidereus,Saluting,PPG,AUS,3,05/08/2015
文武先鋒 ,B049,CHAMPION PRIDE,Eaton Square,Invincible Spirit,Loch Jipp,PP,GB,5,11/04/2014
天外天 ,B435,CHAMPION SUPREME,Champion Supreme,Denman,Future Choice,PPG,AUS,3,12/10/2015
勝得精彩 ,C061,CHAMPION'S WAY,Tony's Tale,Hinchinbrook,Greta's Yarn,PPG,AUS,3,07/10/2015
真跑得 ,A220,CHAPARRAL STAR,----,High Chaparral,Sutology,PPG,AUS,4,11/10/2014
快益善 ,B478,CHARITY GO,Fortune's Pearl,Harbour Watch,Princess Mood,PP,IRE,4,07/03/2015
泰益善 ,B358,CHARITY GRAND,----,Exceed And Excel,Music Review,ISG,AUS,4,09/09/2014
永益善 ,B003,CHARITY WINGS,Al Barsha,Bel Esprit,Viva Dubai,PPG,AUS,5,03/09/2013
眾善積福 ,B334,CHARITYDREAM,Charity Joy,Oasis Dream,Morzine,PPG,GB,4,13/04/2015
噴火龍 ,B463,CHARIZARD,Charizard,Onemorenomore,Whatsaname,PPG,AUS,4,29/08/2014
有斐君子 ,B154,CHARMING BACHELOR,----,Exceed And Excel,Sabanila,PPG,GER,5,02/04/2014
金獅勁將 ,C202,CHATER KING,Adventure World,Dabirsim,Allure,PPG,GER,3,30/03/2016
金獅雷將 ,A325,CHATER THUNDER,----,Oasis Dream,Sanjida,ISG,FR,5,11/02/2014
出奇寶 ,B471,CHEEKY BEE,Cheeky Bee,Niagara,No Reins,PP,NZ,4,28/10/2014
志友運 ,V347,CHEER WIN,----,Showcasing,Spamalot,PPG,NZ,5,24/09/2013
喜歡笑 ,B165,CHEERFUL GIGGLES,Rockstar Rebel,Rebel Raider,Dublin Me Bet,PP,AUS,5,23/09/2013
精彩有你 ,C394,CHEERFUL LEADER,----,Helmet,Boracay,PPG,AUS,3,23/09/2015
神州福星 ,B326,CHEERFUL STAR,Liwanu,Excelebration,Lausanne,PP,FR,5,04/03/2014
喜進 ,A188,CHEERFULJET,----,Darci Brahma,Bright Abyss,PPG,NZ,5,07/09/2013
豪霸 ,C204,CHEERS VANQUISHER,Howling Ridge,Footstepsinthesand,Aussie Opera,PP,IRE,3,30/03/2016
任我行 ,C297,CHEFANO,Vacquero,Silvano,Valdovino,PP,SAF,4,20/08/2014
吉祥駿駒 ,C260,CHEVAL PROMETTEUR,Glorious Army,Declaration Of War,Shibina,PP,GB,4,21/04/2015
閃電俠 ,C099,CHICKEN DANCE,----,Hinchinbrook,Mallard,PPG,AUS,3,03/09/2015
潮州小子 ,T412,CHIU CHOW KID,Manofmanytalents,Bertolini,Starbeck,PP,GB,7,06/04/2012
中華之光 ,A168,CHUNG WAH SPIRIT,Cash Dash,Dash For Cash,Letter From France,PP,AUS,5,08/09/2013
狂舞派 ,B404,CINQUANTE CINQ,----,Tavistock,Jugadora,PPG,NZ,4,16/11/2014
綫路光輝 ,A402,CIRCUIT GLORY,Tavidream,Tavistock,Cinnadream,PP,NZ,5,03/11/2013
綫路勇駒 ,A041,CIRCUIT HASSLER,The Hassler,Shocking,Zaquabeel,PP,NZ,6,28/11/2012
電路一號 ,B373,CIRCUIT NUMBER ONE,----,Holy Roman Emperor,Ysoldina,ISG,GB,4,04/04/2015
電路二號 ,B387,CIRCUIT NUMBER TWO,Keen,Teofilo,Fain,PP,AUS,4,27/09/2014
電路三號 ,B360,CIRCUIT THREE,----,Savabeel,Forty Two Below,ISG,NZ,4,01/11/2014
龍船鼓響 ,T286,CITRON SPIRIT,Citron Spirit,Invincible Spirit,Citron Presse,PP,IRE,7,12/04/2012
都市神話 ,A086,CITY LEGEND,----,Red Giant,Show Exhibit,PPG,NZ,5,25/09/2013
美麗經典 ,C049,CLASSIC BEAUTY,London Icon,Elzaam,Big Swifty,PP,IRE,4,21/02/2015
明欣賞 ,C327,CLASSIC POSH,It's A Classic,Testa Rossa,Makaha,PP,AUS,3,29/10/2015
經典之星 ,C343,CLASSIC UNICORN,----,Per Incanto,Grace And Eva,PPG,NZ,3,25/11/2015
八太子 ,A426,CLEAR CHOICE,Tickle Torture,Rebel Raider,Callipygian,PPG,AUS,5,08/10/2013
文武傳奇 ,B137,CLEMENT LEGEND,----,Ocean Park,Spiriting,PPG,NZ,4,20/09/2014
勝者 ,C315,CLUB SPIRIT,----,Swiss Ace,Kilderry,PPG,NZ,3,22/08/2015
酷比仔 ,A297,COBY BOY,Flying Labelle,Sebring,Elle Labelle,PP,AUS,6,26/10/2012
酷比哥 ,C192,COBY OPPA,----,The Factor,Amazing Tale,PPG,AUS,3,07/09/2015
酷比威 ,C382,COBY WIN,Flying Oppa,Foxwedge,Flying Mistress,PPG,AUS,3,28/10/2015
精進百樂 ,C177,COLORADO HIGH,Colorado High,Star Witness,Redance,PPG,AUS,3,17/11/2015
上旺財上 ,A285,COME ON WONGCHOY,----,Written Tycoon,Hayley's Thunder,PPG,AUS,4,19/10/2014
自在人生 ,B169,COMFORT LIFE,Lethal Bond,Smart Missile,Goldfinger,PP,AUS,5,20/10/2013
善傳千里 ,A121,COMPASSION STAR,----,Bullbars,Tricilo,PPG,NZ,5,19/10/2013
龍串鳳 ,B116,COMPLACENCY,Complacency,Charge Forward,Jemison,PPG,AUS,4,14/09/2014
紅褲日 ,C272,CONFUCIUS DAY,Scream Park,Ocean Park,Cassata,PP,NZ,4,04/11/2014
以奇用兵 ,A429,CONTE,Space Slots,Starcraft,Miss Midas,PPG,AUS,5,01/11/2013
心多多 ,B264,COOL TEAM,Cool Team,Tamayuz,Coolminx,PP,IRE,5,10/02/2014
勁得手 ,C030,COOLCELEB,----,Foxwedge,Celebrity Appeal,PPG,AUS,3,15/10/2015
合夥人 ,C157,COPARTNER,----,Slade Power,French Fern,PPG,IRE,3,28/03/2016
蟲草之星 ,B070,CORDYCEPS,----,Stratum,Enciamo,PPG,AUS,4,11/09/2014
勁快步 ,A053,CORRE RAPIDO,Raffia,Iffraaj,Charangas,PPG,NZ,6,08/10/2012
吉金寶 ,C298,COT CAMPBELL,Cot Campbell,Trippi,Ebony Flyer,PP,SAF,4,06/10/2014
鄉村瑰寶 ,B396,COUNTRY STAR,Lunar Probe,Starcraft,Moonrush,PPG,AUS,3,12/09/2015
確威龍 ,P190,COUR VALANT,Cour Valant,Bahamian Bounty,Gee Kel,PP,GB,9,09/02/2010
鐵胆威龍 ,C015,COURAGEOUS DRAGON,Somepinswrong,Pins,Somethymesoon,PPG,NZ,4,02/11/2014
紀利雄星 ,C041,CRAIG'S STAR,Little Less Noise,Your Song,Little Less Lip,PPG,AUS,3,14/11/2015
榮冠大道 ,V378,CROWN AVENUE,Prince Of Spin,Hard Spun,Royal Tour,PP,AUS,6,17/09/2012
龍之英 ,C206,CRUCIATUS,Cruciatus,Teofilo,Becalm,PP,IRE,3,26/03/2016
巡航導彈 ,B337,CRUISING,Cruising,Danerich,Appointment,PP,AUS,4,15/10/2014
埼豐 ,A083,CURLING LUXURY,----,O'Reilly,Former Glory,PPG,NZ,6,26/10/2012
翩翩 ,V344,D B PIN,----,Darci Brahma,Pins 'N' Needles,PPG,NZ,6,19/10/2012
靚跑得 ,A213,DALRADIAN,Dalradian,Reward For Effort,Miss Ireland,PP,AUS,5,21/08/2013
春花秋月 ,C267,DAN CONTROL,Bruce Wayne,Slade Power,Tallulah Bell,PP,IRE,3,05/04/2016
與龍共舞 ,B129,DANCES WITH DRAGON,Hall Of Fame,Savabeel,Around The Clock,PP,NZ,5,24/08/2013
舞士精神 ,C180,DANCING FIGHTER,Umi Zoumi,Zoustar,Permaiscuous,PPG,AUS,3,30/10/2015
丹山玉 ,C020,DANEHILL JADE,Danehill Jade,Star Witness,Trading Halt,PPG,AUS,3,11/10/2015
狂想派 ,C235,DARE TO DREAM,----,Dream Ahead,Klairessadane,PPG,AUS,3,10/09/2015
一定賺 ,V398,DARING FIT,----,Iffraaj,Skimmio,PPG,NZ,5,10/11/2013
得其康 ,V260,DARING HEART,----,Show A Heart,Kamiri,PPG,AUS,5,13/11/2013
達龍駒 ,C075,DARK DREAM,Dark Dream,All American,Buchanan Girl,PP,AUS,4,30/10/2014
黑馬王子 ,B209,DARK KNIGHT,El Cap,Speightstown,Divine Presence,PP,USA,5,18/01/2014
奔馳寶馬 ,V038,DASHING DART,----,Pins,Chockaholic,PPG,NZ,7,26/10/2011
有利高 ,A412,DASHING GAINER,Exceed The Moon,Exceed And Excel,Lune Rouge,PP,AUS,6,27/08/2012
蜜運 ,B341,DATING,Daniel,Danerich,Perlight,PPG,AUS,4,01/09/2014
