Chinese Name,Code,English Name,Former Name,Sire,Dam,Import Type,Country Of Origin,Age,Foaling Date
快樂凱旋 ,B195,HAPPY VICTORY,Not Usual Trip,Stryker,Fandanita,PP,AUS,4,09/08/2014
活力勇士 ,A313,HAPPY WARRIOR,----,More Than Ready,Zingaling,ISG,AUS,5,01/09/2013
寶得住 ,C125,HAPPY WIN WIN,Masucci,Zoffany,Meeting In Paris,PP,IRE,4,17/02/2015
樂飛勝 ,B450,HAPPY WINNER,----,Elusive Quality,Ighraa,ISG,GB,4,23/03/2015
歡喜心 ,A224,HAR HAR HEART,My Boy Dangerous,Myboycharlie,Dangerous Dancer,PPG,AUS,5,12/09/2013
香江穩勝 ,T254,HARBOUR ALERT,Harbour Alert,Alert,Miss Love,PP,AUS,7,21/08/2011
香江世億 ,A407,HARBOUR CENTURY,----,Pluck,Dream Leica,PPG,AUS,4,19/09/2014
英之友 ,A373,HARD PROMISE,Hard Promise,Hard Spun,Perfect Promise,PP,AUS,5,28/10/2013
南莊加好 ,C025,HARDLY SWEARS,Hardly Swears,All Too Hard,Sworn To Secrecy,PPG,AUS,4,23/10/2014
協勝神駒 ,B217,HARMONY HERO,Lina's Hero,Elvstroem,Cloanthy,PP,AUS,4,08/10/2014
協霸神駒 ,B405,HARMONY VICTORY,Cash Do Jaguarete,Public Purse,Flower Fest,PP,BRZ,4,03/09/2014
騰龍超影 ,T372,HARRIER JET,Harrier Jet,Dane Shadow,Borobodur,PP,AUS,7,05/09/2011
極速神驅 ,C009,HASTA LUEGO,----,I Am Invincible,Mariana Sunset,PPG,AUS,4,09/11/2014
同歡樂 ,B084,HAVE FUN TOGETHER,----,Thewayyouare,Black Beauty,PPG,NZ,4,10/11/2014
喜盈運 ,V337,HAY RUN,Automatic Choice,Delightful Choice,Missun,PP,AUS,6,12/10/2012
叫關健康 ,A064,HEALTHY LUCK,----,Written Tycoon,Schapelle,PPG,AUS,5,29/10/2013
叫關盈富 ,B482,HEALTHY TREASURE,----,Kodiac,Miss Neoki,PPG,GB,4,17/04/2015
頌友 ,N360,HEARTS KEEPER,----,Keeper,Mrs Zoff,PPG,NZ,9,10/09/2009
鴻圖巨星 ,C163,HEAVENLY THOUGHT,Heavenly Thought,So You Think,God Love It,PP,AUS,4,03/11/2014
陽剛武士 ,C328,HELAKU KNIGHT,Helaku,Written Tycoon,Summery,PP,AUS,3,02/11/2015
喜蓮彩星 ,A129,HELENE CHARISMA,Mont Ormel,Air Chief Marshal,Lidana,PP,FR,6,16/05/2013
喜蓮騏星 ,C165,HELENE LEADINGSTAR,Leicester,Wanted,Defy The Odds,PP,AUS,4,28/09/2014
美麗甜心 ,B410,HELLO BEAUTY,Fullazaboot,Sepoy,Fullazz,PP,AUS,3,13/10/2015
勇者勝 ,B010,HERO TIME,Rather Edgy,Mint Lane,Very Edgy,PPG,AUS,5,22/11/2013
勇駒 ,S260,HEROIC GURU,Heroic Guru,Gallant Guru,Enzed,PP,NZ,8,01/11/2010
志同道合 ,B287,HEZTHEWONFORUS,Hezthewonforus,Sufficient,Party Queen,PP,NZ,4,04/09/2014
宜春之福 ,C070,HIDDEN BLITZ,Hidden Affair,Equiano,Love Action,PP,GB,4,22/04/2015
執到笑 ,B130,HIDDEN SPIRIT,----,Alamosa,She's Assertive,PPG,NZ,4,09/09/2014
開心神駒 ,T200,HIGH FIVE,Copy Watch,Time Thief,Stand By Your Man,PP,AUS,7,03/10/2011
轉數高 ,C007,HIGH REV,Big Moon,Fastnet Rock,Invest,PPG,AUS,4,23/08/2014
勁有波幅 ,V081,HIGH VOLATILITY,The Barrister,Star Witness,Strikeline,PP,AUS,6,03/11/2012
勝利威龍 ,C292,HIGHLAND FORTUNE,Highland Fortune,Declaration Of War,Pan Dulce,PP,USA,3,23/03/2016
高陞 ,B454,HIGHRISE STAR,Parsival,Kallisto,Prakasa,ISG,GER,4,25/02/2015
手到回來 ,C001,HINCHINLOVE,Wild Heart,Hinchinbrook,Wildly Entertained,PP,AUS,4,09/09/2014
軒轅齊飛 ,V250,HINYUEN SWIFTNESS,One For One,Duke Of Marmalade,Stolen Girlfriend,PP,AUS,6,21/10/2012
可愛寶 ,T029,HO HO FEEL,----,Henrythenavigator,Minnie Deal,PPG,AUS,7,13/09/2011
好好瑪 ,B318,HO HO KHAN,Mulanchi,Makfi,China Choice,PP,NZ,4,28/11/2014
好利錢 ,A332,HOLEE MONEY,----,Master Of Design,Sparkling Symphony,ISG,AUS,5,07/09/2013
幸運神駒 ,V179,HOLY UNICORN,----,Holy Roman Emperor,Open Book,PPG,IRE,6,23/04/2013
家家樂園 ,C321,HOME GROUND,Home Ground,High Chaparral,First Look,PP,AUS,3,08/10/2015
財寶家駒 ,V101,HOME RUN,----,Hinchinbrook,Truly Kissed,PPG,AUS,6,25/09/2012
老實人 ,B200,HONEST WAY,----,Per Incanto,Our Foil,PPG,NZ,4,20/11/2014
天祿 ,C082,HONG KONG BET,Irish Bet,Smart Missile,Dublin Me Bet,PP,AUS,3,30/09/2015
跳出世界 ,C333,HONG KONG WIN,Lip Drop,Mossman,With Apologies,PPG,AUS,3,12/09/2015
加加友福 ,B063,HONG KONG'S FOLKS,Hong Kong's Folks,Hinchinbrook,Our Kitty,PPG,AUS,4,13/10/2014
旺蝦王 ,A299,HOT KING PRAWN,Join In,Denman,De Chorus,PPG,AUS,4,28/09/2014
黃山 ,C214,HUANGSHAN,Huangshan,Redoute's Choice,Majestic Girl,PP,AUS,4,06/10/2014
合進駒 ,A327,HUMBLE STEED,----,Kodiac,Singitta,ISG,IRE,5,26/03/2014
暴風俠 ,A123,HURRICANE HUNTER,----,Darci Brahma,Leigh Valley,PPG,NZ,5,08/10/2013
動力爆發 ,B240,I AM POWER,I Am Power,Power,Bridge Note,PP,IRE,4,31/01/2015
我𢥧意 ,C038,I DO,Professor White,So You Think,Redoutebelle,PPG,AUS,4,23/10/2014
餘皇 ,B155,I'M THE CONQUIST,Red Sabor,Bated Breath,Really Ransom,PP,GB,5,26/04/2014
舉世無雙 ,A310,IMPECCABLE FELLOW,----,Acclamation,Moment Juste,ISG,IRE,5,07/03/2014
威勢之寶 ,P425,IMPERIAL CONCORDE,Imperial Concorde,High Chaparral,Irish Style,PP,IRE,9,28/01/2010
勇冠王 ,T028,IMPERIAL GALLANTRY,----,Guillotine,Reflection,PPG,NZ,7,06/10/2011
無限驚喜 ,B477,INCREDIBLE,Zaha's Eye,Orpen,Leni Riefenstahl,PP,FR,4,29/03/2015
新界之星 ,A081,INDIGENOUS STAR,----,Exceed And Excel,Nandi,PPG,AUS,5,09/09/2013
勇闖者 ,A030,INFINITY ENDEAVOUR,Rock The Mamba,Fastnet Rock,Black Mamba,PPG,AUS,5,19/11/2013
翠龍 ,B156,INSAYSHABLE,Insayshable,Rajj,Imitation,PP,IRE,5,07/03/2014
真精采 ,C270,INTERSTELLAR,La Chambie,Magnus,Prospect Street,PP,AUS,3,22/09/2015
威力名城 ,A139,INTREPIC,Intrepic,Medaglia d'Oro,Across The Moon,PP,AUS,6,30/08/2012
投資旺 ,A424,INVESTOR BOOM,----,Foxwedge,Thebe,PPG,AUS,4,24/10/2014
最新鮮 ,T190,INVINCIBLE FRESH,Invincible Fresh,Footstepsinthesand,Princess Serena,PP,IRE,8,23/02/2011
聰明導彈 ,C037,INVINCIBLE MISSILE,Missile Program,Smart Missile,Phaedra,PPG,AUS,3,22/08/2015
福嘉旺旺 ,B302,IRISH VEGA,Irish Vega,Lope de Vega,Count Your Fingers,PP,AUS,4,28/09/2014
肥仔 ,V071,IRON BOY,Californian Man,California Dane,Carnebelle,PP,AUS,7,17/08/2011
彪形鐵漢 ,C012,IRON BRAVO,Flower Bridge,Magnus,Autumn Belle,PPG,AUS,4,24/09/2014
打鐵趁熱 ,C133,IRON KING,----,Ferlax,Gatestopper,PPG,NZ,3,23/10/2015
觀自在 ,S015,ISHVARA,----,Coats Choice,Asiana,PPG,NZ,8,05/10/2010
鼓浪威風 ,C088,ISLAND WINNER,----,Foxwedge,Iltizaam,PPG,AUS,3,27/10/2015
達道之星 ,C409,ITALO,----,O'Reilly,Iguazu's Girl,ISG,NZ,3,01/10/2015
天下為攻 ,A257,IVICTORY,Chile Green,Mossman,Inca Lagoon,PPG,AUS,5,04/09/2013
翡翠福星 ,V020,JADE FORTUNE,Showboy,Showcasing,Shades Of Silk,PP,NZ,6,15/08/2012
翡翠劇院 ,A040,JADE THEATRE,Gasoline,Pluck,Miguelita,PP,AUS,5,10/11/2013
綠野先駒 ,C302,JENERATOR,Speedkeeper,Keeper,Madame Rouge,PP,NZ,4,27/10/2014
尖子 ,C266,JIMMU,Jimmu,Dalakhani,Jambalaya,PP,GER,4,05/05/2015
漸信龍駒 ,C017,JIMSON THE DRAGON,Ignis,Smart Missile,Pyrography,PPG,AUS,4,17/08/2014
漸信名駒 ,T253,JIMSON THE FAMOUS,----,Yes It's True,Aucilla,PPG,USA,7,26/03/2012
迢迢千里 ,A329,JIN JIN KING,----,Holy Roman Emperor,Lapland,ISG,FR,5,24/02/2014
京京千里 ,V328,JING JING WIN,----,Starcraft,Top Cuban,ISG,AUS,6,02/10/2012
旌暉 ,V077,JOLLY BANNER,Wonder Kid,Lonhro,Valkyrie Diva,PP,AUS,7,29/09/2011
常豐裕 ,A266,JOLLY BOUNTIFUL,Handle Bars Down,Bullbars,Senorita Rosay,PPG,NZ,5,01/11/2013
大聚會 ,V293,JOLLY CONVERGENCE,Waipu Cove,Equiano,Langs Lash,PP,GB,6,29/04/2013
非常堅 ,T146,JOLLY GENE,Impulsive Moment,Galileo,Luas Line,PP,IRE,8,30/01/2011
盈嘉輝 ,C080,JOLLY HONOUR,Jolly Honour,Reliable Man,Vexed,PP,NZ,4,21/10/2014
榮彩大道 ,C340,JOY AVENUE,----,Echoes Of Heaven,Viking Angel,PPG,NZ,2,10/10/2016
開心大師 ,B222,JOY MASTER,Riasc,Rogano,Irish Hut,PP,AUS,4,23/10/2014
協力神駒 ,B364,JOYFUL CONTENDER,----,I Am Invincible,Zadiym,ISG,AUS,4,29/08/2014
歡樂家庭 ,B397,JOYFUL FAMILY,Invite Only,Excelebration,On The Loose,PP,AUS,4,21/09/2014
正本開心 ,C227,JOYFUL HEART,----,Smart Missile,Snowy World,PPG,AUS,3,07/09/2015
歡樂一生 ,T134,JOYFUL MOMENTS,Sequential Leader,Sequalo,Cheer Girl,PPG,AUS,7,15/10/2011
壯思飛 ,V110,JOYFUL TRINITY,Baghadur,Zanzibari,Bargouzine,PP,IRE,7,04/03/2012
永同歡欣 ,C232,JOYFUL UNION,Boss,Towkay,Eutrophy,PP,NZ,4,12/09/2014
荷花福星 ,C311,JUDY'S STAR,----,Sebring,Seeking Attention,PPG,AUS,2,29/10/2016
好友營 ,A369,JUMBO BUS,----,Iffraaj,Jabot,PPG,NZ,5,20/09/2013
同進 ,V315,JUMBO HAPPINESS,----,Fastnet Rock,Tashzara,ISG,GB,6,30/03/2013
真好彩 ,V068,JUMBO LUCK,----,Reward For Effort,Maid In Secret,PPG,AUS,6,23/09/2012
獎進 ,C283,JUMBO PRIZE,----,Your Song,White Diamonds,PPG,AUS,3,12/10/2015
君子精神 ,V274,JUNZI,Rebel Heart,Red Giant,Quality Dream,PPG,NZ,6,21/10/2012
軍力勁 ,B192,JUST NOT LISTENING,Just Not Listening,Star Witness,High Aspirations,PPG,AUS,4,10/09/2014
嘉喜旺 ,C421,KA FORTUNE,----,Farhh,Catchline,ISG,IRE,3,29/04/2016
嘉應風采 ,B115,KA YING BRILLIANCE,----,Canford Cliffs,Prayers'N'Promises,PPG,AUS,4,22/10/2014
嘉應傳奇 ,B234,KA YING LEGEND,Tan Creido,Hurricane Cat,Tancreda,PP,ARG,4,12/08/2014
嘉應精英 ,C240,KA YING MASTER,----,Snitzel,Make Me Dream,PPG,AUS,3,17/08/2015
嘉應之星 ,C198,KA YING STAR,Urban Aspect,Cityscape,Casual Glance,PP,GB,4,23/02/2015
超霸無敵 ,C256,KANBEKI MOLLY,----,Spirit Of Boom,Jessica's Hope,PPG,AUS,3,05/09/2015
一舖縱橫 ,B385,KASI FARASI,Kasi Farasi,Reward For Effort,Disturbingthepeace,PP,AUS,4,27/09/2014
堅飛飛 ,B186,KEEN FAY FAY,----,Helmet,Bleveeka,PPG,AUS,3,11/10/2015
勝利導航 ,A024,KEEN VENTURE,Tulsa,Sebring,Morning Dews,PP,AUS,6,01/09/2012
不忘初心 ,B231,KEEP GOING,Collecting Curency,Testa Rossa,Mosoru,PPG,AUS,4,10/08/2014
積極皇 ,A124,KEEP MOVING,----,Darci Brahma,Miss Raggedy Ann,PPG,NZ,5,13/10/2013
向前看 ,B331,KEEP WINNING,Hugin,Henrythenavigator,Silver Star,PP,IRE,5,05/02/2014
一代莊主 ,C419,KELMIMI WINS,----,Scat Daddy,Oxbow Lake,ISG,USA,3,24/04/2016
英勇大師 ,S212,KEY WITNESS,Fujimoto,Show A Heart,Jessepic,PPG,AUS,8,03/10/2010
龍騰摘星 ,A294,KHAKI,Khaki,Commands,Chameleon,PP,AUS,5,27/09/2013
勁精神 ,V181,KING GENKI,Toruk,Arcano,Celestina Agostino,PP,FR,7,20/02/2012
砂漿邦 ,A097,KING MORTAR,The Mob,Street Boss,Whisper Her Name,PP,AUS,5,13/09/2013
紅心傾 ,C145,KING OF HEARTS,Society Power,Society Rock,Yajala,PP,IRE,4,14/02/2015
勁無比 ,B034,KING OPIE,----,Ocean Park,Hope So,PPG,NZ,4,01/11/2014
皇圖 ,C123,KING PRINT,Expected,Intikhab,Andorra,PP,IRE,4,29/04/2015
王者再現 ,V156,KING'S MAN,----,Iffraaj,Ruqqaya,PPG,NZ,6,20/10/2012
皇帝賽 ,C249,KING'S RACE,----,Foxwedge,Smart Catch,PPG,AUS,3,13/09/2015
黃金甲 ,C071,KINGS SHIELD,Kings Shield,Scat Daddy,Gender Dance,PP,USA,4,22/01/2015
王者奇兵 ,C130,KING'S TROOPER,----,Denman,Alluring Belle,PPG,AUS,3,18/08/2015
勇霸神駒 ,T403,KINGSFIELD,Rom Baro,Time Thief,Gypsy Mai,PP,AUS,7,28/10/2011
奇真 ,T093,KIRAM,Kiram,Elusive City,King Luna,PP,FR,8,12/04/2011
功夫茶 ,C136,KUNG FU TEA,----,Shocking,Pristino,PPG,NZ,3,06/10/2015
龍戰士 ,C153,KUNGFUMASTER PANDA,Maths Prize,Royal Applause,Hypoteneuse,PP,GB,5,03/02/2014
葵涌精英 ,C173,KWAI CHUNG ELITE,Warrior Poet,Poet's Voice,Mighty Lion,PPG,AUS,3,07/10/2015
葵涌老友 ,A012,KWAICHUNG BROTHERS,Apache Arrow,Racer's Edge,Shezgonewest,PPG,AUS,6,29/09/2012
喜奔騰 ,B143,LA BOMBA,----,Time Thief,De Right Stuff,PPG,AUS,4,29/09/2014
愛馬劍 ,B013,LADY FIRST,Sidestep,Zacinto,Avoid,PP,NZ,5,24/10/2013
翠湖飛鷹 ,B391,LAKESHORE EAGLE,Mister Shiraz,Master Of Design,Rose Syrah,PPG,AUS,4,13/09/2014
提款機 ,V093,LAMAROSA,Lamarosa,Postponed,Coimbra,PP,NZ,6,14/09/2012
鋒芒快露 ,C417,LAND POWER,----,Siyouni,Vintage Red,ISG,GB,3,21/03/2016
老撾之光 ,C291,LAOS ENLIGHTENMENT,Power Of Now,Camacho,Meanwhile,PP,IRE,3,03/03/2016
興爾 ,B203,LAST KINGDOM,Last Kingdom,Frankel,Compelling,PP,USA,5,20/01/2014
長友之星 ,B251,LASTING FRIENDSHIP,Lasting Friendship,Commands,Loch Maryanne,PP,AUS,5,03/09/2013
大笑大少 ,P297,LAUGH OUT LOUD,Queneau,Casino Prince,Zazie,PP,AUS,9,24/10/2009
乘勝追擊 ,V369,LE PANACHE,Battle Pride,Acclamation,Heavens Peak,PP,IRE,6,15/05/2013
天地人 ,B403,LE TERROIR,----,Star Witness,Chichi Romero,PPG,AUS,3,28/08/2015
連連行運 ,C441,LEADING FORTUNE,Naadam,Siyouni,Nayara,PPG,FR,3,24/03/2016
精益大使 ,A250,LEAN AMBASSADOR,Archives,Helmet,Preserve,PP,AUS,5,18/09/2013
精益求精 ,B040,LEAN PERFECTION,----,Sebring,Suzy Rocks,PPG,AUS,4,24/09/2014
凌駕 ,C386,LEAP OF FAITH,----,Sebring,Steps In Time,PPG,AUS,2,28/09/2016
江山駿駒 ,C207,LEGENDARY HERO,Young Dandy,Dandy Man,Opera Comica,PPG,IRE,3,20/04/2016
印印腳 ,A277,LEISURED FEET,----,Savabeel,Quatro,PPG,NZ,5,04/11/2013
東山再起 ,B367,LET'S COME BACK,----,Acclamation,Se La Vie,ISG,IRE,4,04/03/2015
放眼量 ,A140,LET'S TAKE IT EASY,Loch Oir,Street Boss,Vogue Beauty,PP,AUS,5,28/08/2013
自由飛翔 ,T292,LETSGOFREE,----,Fast Company,Ramamara,PPG,IRE,7,16/02/2012
幸運健康 ,B177,LEVANTE,Levante,Sepoy,Follonica,PPG,AUS,4,07/09/2014
雷霆導彈 ,A281,LIGHTNING MISSILE,----,Smart Missile,Venetian Lady,PPG,AUS,5,11/09/2013
飛雲騅 ,B274,LIGHTNING STEED,Golden Deal,California Dane,Deal Or No Deal,PPG,AUS,4,11/10/2014
雷電寶 ,B259,LIGHTNING TREASURE,----,Swiss Ace,Authentic Desire,PPG,NZ,4,07/11/2014
赤兔寶駒 ,A115,LIMITLESS,Defrocked,Lope de Vega,Portelet,PP,IRE,6,28/02/2013
文藝學家 ,V183,LITTERATEUR,Meteoric,Lope de Vega,Lake Moon,PP,IRE,7,17/03/2012
小鳥敖翔 ,B069,LITTLE BIRD,----,Starcraft,Libor Lady,PPG,AUS,5,09/09/2013
小奇妙 ,T298,LITTLE FANTASY,Midnight Allure,Excites,Derrycarna,PP,AUS,7,13/09/2011
小福將 ,C096,LITTLE GENERAL,Juddmonte,Cape Blanco,Tuesday's Child,PPG,NZ,3,10/09/2015
小巨人 ,V342,LITTLE GIANT,Blackcrown,Swiss Ace,Princess Carolina,PP,NZ,6,01/11/2012
小島怡情 ,T390,LITTLE ISLAND,Midnitemagicman,Tavistock,Keep Alight,PP,NZ,7,04/10/2011
一路順風 ,C453,LITTLE THUNDER,Little Thunder,Hussonet,Smytzer's Thunder,PPG,AUS,3,27/10/2015
小威人 ,C217,LITTLE WISE MAN,Alamosa Kid,Alamosa,Young American,PPG,NZ,3,03/10/2015
利之喜 ,A405,LIVERBIRD STAR,----,Magnus,The Girlfriend,PPG,AUS,4,06/10/2014
馬友冠 ,C299,LOBO'S LEGEND,Lobo's Legend,Trippi,Gone Wild,PP,SAF,4,30/08/2014
同樂日 ,B087,LOCKHEED,Lockheed,Exceed And Excel,Clinical,PP,GB,5,24/01/2014
福多寶 ,B026,LONDON HALL,----,He's Remarkable,La Memoire,PPG,NZ,4,04/10/2014
旅英福星 ,C368,LONDON LUCKYSTAR,Frederickbarbarosa,Holy Roman Emperor,Midnight Partner,PP,IRE,3,17/04/2016
旅英公爵 ,T345,LONDON MASTER,----,Commands,Suzy Smart,ISG,AUS,7,12/09/2011
鑽飛鷹 ,B309,LONE EAGLE,Lone Eagle,Zoffany,Green Mirage,PP,AUS,4,10/10/2014
阿凡達 ,V123,LOOK ERAS,----,Dream Ahead,Arabian Art,PPG,IRE,6,16/04/2013
路路通 ,B256,LOOKING GOOD,----,Postponed,Are You Devious,PPG,NZ,4,28/09/2014
同盟力量 ,C036,LORIZ,----,Smart Missile,Negotiate,PPG,AUS,3,10/09/2015
麯院風荷 ,T112,LOTUS BREEZE,Ebanoran,Oasis Dream,Ebadiyla,PP,IRE,8,13/03/2011
中華壹號 ,T207,LOVE CHUNGHWA,Charter,Elusive City,Lucky Norwegian,PP,IRE,9,26/04/2010
年年旺 ,C122,LOVING A BOOM,Loving A Boom,Acclamation,Elektra Marino,PP,IRE,4,21/03/2015
小米周 ,T355,LUCKY GIRL,More Soccer,Onemorenomore,Bani Yas,PP,AUS,7,25/09/2011
老友威威 ,T349,LUCKY GUY,Next Day,Domesday,Tintoretto,PP,AUS,7,01/10/2011
力奇先鋒 ,B057,LUCKY HERO,Fiery Trail,Northern Meteor,Shared Reflections,PP,AUS,5,25/09/2013
永旺喜喜 ,A347,LUCKY LUCKY,Holiday Road,Murtajill,Lady Of Laredo,PPG,AUS,4,12/11/2014
祥光普照 ,A273,LUCKY SHINY DAY,----,Per Incanto,Zalass,PPG,NZ,4,20/11/2014
好運齊來 ,B124,LUCKY STORM,Lucky Storm,Red Arrow,Eurostorm,PPG,AUS,5,20/10/2013
鴻圖福星 ,C190,LUCKY THOUGHT,----,Savabeel,Schooner Bay,PPG,NZ,3,03/10/2015
幸運時代 ,A045,LUCKY TIME,----,Castledale,Gulfstream,PPG,NZ,6,12/09/2012
勇福星 ,B035,LUCKY WIN WIN,----,Ocean Park,On The Board,PPG,NZ,4,26/08/2014
旋風 ,C308,LUCKY WINDRIDER,----,Lope de Vega,Hearth,PPG,AUS,3,03/10/2015
霽月高風 ,V385,LUNAR ZEPHYR,Commanding Gema,Commands,Gemadaily,PPG,AUS,5,16/08/2013
雍容白荷 ,C818,LYS GRACIEUX,----,Heart's Cry,Liliside,VIS,JPN,5,18/01/2014
錢途再現 ,A046,M REBORN,----,Darci Brahma,Casual Chick,PPG,NZ,5,11/11/2013
駿皇綵 ,A170,MAGIC LEGEND,Hostwin Legend,Red Element,Trail Of Secrets,PP,AUS,5,06/09/2013
魔術家 ,C230,MAGIC MAN,Magic Man,Agnes Gold,Whatsmineisyours,PPG,BRZ,3,23/07/2015
馬到成功 ,B066,MAGIC SUCCESS,Magic Success,Magic Albert,Lagerphone,PPG,AUS,5,28/09/2013
情趣 ,V114,MAGNETISM,Al Bandar,Monsieur Bond,Midnight Mystique,PP,IRE,7,08/02/2012
盛大光輝 ,C121,MAGNIFICENT,Magnificent,Zebedee,Barathea Dancer,PP,GB,4,06/04/2015
惺惜犬馬 ,B301,MAHLER MOJO,Bastide,Judpot,Requista,PPG,SAF,3,28/08/2015
遨遊千里 ,C363,MAJESTIC CONQUEROR,----,Starspangledbanner,Gibraltar Range,PPG,AUS,4,21/11/2014
領闖者 ,A399,MAJESTIC ENDEAVOUR,Sacred Way,High Chaparral,Kylie's Way,PP,AUS,5,29/09/2013
管之星 ,B006,MANAGEMENT STAR,Brahman,Darci Brahma,Bella Rosalia,PPG,NZ,5,23/08/2013
航天勇將 ,V010,MANFUL STAR,----,Northern Meteor,Hint Of Glory,PPG,AUS,7,29/10/2011
天衣無縫 ,C261,MANNA FROM HEAVEN,Simpson,Dragon Pulse,Salydora,PP,IRE,4,12/05/2015
駿王 ,V423,MARQULA,Marqula,Coast Guard,Marquet Formula,PP,USA,6,02/05/2013
更好世界 ,C237,MARVELOUS WORLD,----,Hinchinbrook,Leyenda,PPG,AUS,3,22/10/2015
馬索爾 ,B094,MARZOUQ,Marzouq,Spring At Last,Smart 'n Special,PP,USA,5,14/02/2014
大龍騰 ,T381,MASSIVE MILLENNIUM,Vinnie Eagle,I Am Invincible,Sweet Maggie,PP,AUS,7,30/08/2011
大收成 ,T073,MASSIVE MOVE,Rhythmic Cat,Tale Of The Cat,Dance Move,PPG,AUS,8,28/08/2010
大紅包 ,B246,MASSIVE POCKET,Verstappen,Stratum,Sprung,PP,AUS,5,19/09/2013
大天龍 ,T339,MASSIVE POWER,----,Pins,Lucida,ISG,NZ,7,29/08/2011
馬功臣 ,A296,MASTER ALBERT,Albert Of Clonmel,Magic Albert,Kate Of Clonmel,PP,AUS,5,22/09/2013
神乎其技 ,A174,MASTER BERNINI,Master Bernini,Bernardini,Montaza,PPG,AUS,5,28/08/2013
八駿雄風 ,C449,MASTER GALAXY,Master Henry,Align,Stark Galaxy,PPG,NZ,3,16/11/2015
首飾大師 ,B148,MASTER JEWELLERY,----,Redoute's Choice,Sandy Girl,PPG,FR,4,27/03/2015
馬驕雄 ,B455,MASTER ROMAN,----,Holy Roman Emperor,Sojitzen,ISG,IRE,4,14/02/2015
好攻勢 ,C334,MASTERWORK,----,Nicconi,Betchapass,PPG,AUS,2,11/11/2016
連利 ,C104,MAX GLENEALY,----,Pins,Grande Ballare,PPG,NZ,3,26/08/2015
天賦威力 ,B335,MCMUNIGAL,McMunigal,Epaulette,Picture Of Lily,PP,IRE,4,26/02/2015
閃電王 ,V013,MCQUEEN,Mcqueen,Alamosa,Creil,PP,NZ,7,09/11/2011
無敵威龍 ,B443,MEDIC DRAGON,----,Kodiac,Lilium,ISG,IRE,4,13/01/2015
公証福將 ,A148,MEGA HEART,Oh Romeo,Foreplay,The Baroness,PP,AUS,6,08/11/2012
公証揚鳴 ,V078,MEGA RED,Grand Vintage,More Than Ready,Special Cuvee,PP,AUS,7,29/10/2011
佳運喜 ,A237,MEGA TREASURE,Grand Coalition,Kodiac,Defined Feature,PP,IRE,5,23/04/2014
威震天 ,V119,MEGATRON,Tailteann Games,Hard Spun,Fine Jade,PP,USA,7,29/04/2012
孖寶 ,C239,MEHBOOB,----,Snippetson,Comedy Express,PPG,AUS,3,15/09/2015
高耀智星 ,C067,MERIDIAN GENIUS,----,Unencumbered,More Than Pronto,PPG,AUS,3,06/11/2015
萬利高 ,V396,MERRYGOWIN,----,Castledale,Sweet Fascination,PPG,NZ,6,04/10/2012
好時機 ,B422,METRO WINNER,----,All Too Hard,Flavin,PPG,AUS,3,24/08/2015
萬霸駒 ,A186,MI BLANCO,----,Cape Blanco,Mi Centie,PPG,NZ,5,18/11/2013
彩福 ,T371,MIDNIGHT RATTLER,Midnight Rattler,Clang,Mezentseva,PP,AUS,7,10/11/2011
風雨駒 ,C376,MIG ENERGY,Mig Energy,Redoute's Choice,Hifalutin,PP,AUS,3,02/09/2015
神威敖翔 ,V150,MIGHTY MAVERICK,Mighty Maverick,Snitzel,Thunder Belle,PP,AUS,7,18/09/2011
金元寶馬 ,C094,MIGHTY POWER,Mighty Power,Power,Silvara,PP,NZ,4,21/10/2014
海鷹 ,C112,MIGHTY SEAHAWK,Esto Vir,Super Easy,Sparkling All Over,PPG,NZ,3,23/10/2015
醉翁意 ,C016,MISCHIEVOUS SUNDAE,----,Sebring,Elsewhere,PPG,AUS,3,19/10/2015
妙算達人 ,B224,MISSION TYCOON,Mission Tycoon,Written Tycoon,Lakemba Gold,PP,AUS,4,14/10/2014
劍聶風 ,A201,MISTER MONTE,Futura,Hussonet,Grantsville,PP,AUS,5,08/10/2013
實力飛駒 ,V138,MOMENT OF POWER,Moment Of Power,Exceed And Excel,Diamond Masque,PPG,AUS,6,07/09/2012
銀河飛馬 ,C275,MOMENTUM GALAXY,Momentum Factor,The Factor,Angel's Breath,PP,AUS,3,11/10/2015
乘勢歡心 ,C423,MOMENTUM HAPPY,----,Dubawi,Longing To Dance,ISG,GB,3,11/02/2016
財富超影 ,C392,MONEY BACK,Money Back,Street Boss,Revives,PP,AUS,3,27/11/2015
財帥 ,B134,MONEY MARSHAL,----,Iffraaj,Speedalot,PPG,NZ,4,15/09/2014
萬里威揚 ,A055,MONEY WINNER,----,Mastercraftsman,Just A Dream,PPG,NZ,6,11/10/2012
友盈有款 ,B182,MONEYMORE,Nick's Reward,Reward For Effort,Just Stunning,PP,AUS,4,05/10/2014
蒙古王 ,A098,MONGOLIAN KING,War Pig,Sufficient,Albacora,PP,NZ,6,03/10/2012
蒙古傳奇 ,B317,MONGOLIAN LEGEND,Mongolian Legend,Fastnet Rock,Purde,PP,AUS,5,07/11/2013
不羈的風 ,B271,MONICA,Geodude,Murtajill,Senorita de Lago,PP,AUS,5,26/11/2013
首飾大聖 ,B378,MONKEY JEWELLERY,----,Exceed And Excel,Panama,ISG,NZ,4,31/08/2014
