date,raceNo,horseNo,odds,plc,Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,class,Runs_1,Runs_2,Runs_3,Runs_4,Runs_5,Runs_6,Gear_1,Gear_2,Gear_3,Gear_4,Gear_5,B,H,TT,CP,V,XB,SR,P,PC,E,BO,PS,SB,Sex_c,Sex_f,Sex_g,Sex_h,Sex_m,Sex_r,going_FAST,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_WET SLOW,going_YIELDING,raceCourse_HV,raceCourse_ST,horseRank,SireRank,DamRank,JockeyRank,TrainerRank,HorseMatchRank
20180110.0,8.0,12.0,13.0,4.0,12.0,8/10/9/8/3/7,nan,BLOCKER DEE,T374,K Teetan,nan,7.0,C Fownes,86,+14,1256.0,+25,1.09.40,6.0,-,1961550.0,1,nan,Mr & Mrs Kenneth Au-Yeung Wing,Hidden Dragon,Tycoon Rhythm,PP,124.0,TURF - B Course,1200M,2,8,10,9,8,3,7,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.36363636363636365,4.0,4.0,0.24761904761904763,0.2857142857142857,5.0
20180110.0,8.0,5.0,3.8,3.0,5.0,1/1/1/12/11/8,nan,SUPER FLUKE,T382,B Prebble,nan,5.0,C H Yip,86,-11,1171.0,-6,1.10.14,6.0,-,4661900.0,+ 1,nan,Financial Combination Syndicate,Thewayyouare,Brilliant Kiwi,PP,124.0,TURF - B Course,1200M,2,1,1,1,12,11,8,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1.0,5.0,3.0,0.3219178082191781,0.20476190476190476,10.5
20180110.0,8.0,2.0,3.9,2.0,2.0,3/4/2/3/2/4,nan,MR GENUINE,S253,Z Purton,nan,1.0,D J Hall,92,+18,1116.0,-1,1.09.13,7.0,-,2511000.0,+ 1,CP,Allen Shi Lop Tak & Kimmy Ngan King Lin,Dark Angel,Secret Key,PP,130.0,TURF - B Course,1200M,2,3,4,2,3,2,4,CP,None,None,None,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.75,7.0,6.0,0.43781094527363185,0.24615384615384617,8.0
20180110.0,8.0,4.0,6.6,1.0,4.0,2/1/9/5/11/6,nan,PERPETUAL JOYANCE,V229,O Doleuze,nan,4.0,J Size,88,-9,1166.0,+18,1.09.87,5.0,-,3540500.0,* 1,B/H,Paul Wrobel & Lam Sau Ming,Red Giant,Make Me Strong,PPG,126.0,TURF - B Course,1200M,2,2,1,9,5,11,6,B,H,None,None,nan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.6,10.0,6.0,0.2978723404255319,0.3772455089820359,7.0
20180110.0,3.0,10.0,17.0,12.0,10.0,2/6/9/5/4/6,nan,PADDINGTON,A107,C Schofield,1,7.0,W Y So,42,+22,1131.0,+11,1.10.09,4.0,-,277200.0,2,B/E/TT,Frank Fu Hoo Kin & John Hui Kin Yip,Wanted,Emma Princess,PPG,115.0,TURF - B Course,1200M,4,2,6,9,5,4,6,B,E,TT,None,nan,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.2,1.0,1.0,0.19148936170212766,0.32038834951456313,6.0
20180110.0,3.0,7.0,29.0,11.0,7.0,6/11/6/6/3/2,nan,COUR VALANT,P190,A Sanna,nan,9.0,D Cruz,50,+33,1069.0,-7,1.09.86,8.0,-,30800.0,+ * 1,XB/TT,Brandon Lau,Bahamian Bounty,Gee Kel,PP,123.0,TURF - B Course,1200M,4,6,11,6,6,3,2,XB,TT,None,None,nan,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.4,7.0,4.0,0.15384615384615385,0.19708029197080293,9.0
20180110.0,3.0,4.0,130.0,10.0,4.0,10,nan,COOL ARMY,B042,O Doleuze,nan,6.0,C Fownes,52,+16,1062.0,+17,nan,3.0,-,0.0,1,H/P,Fan Tat Yan,Showcasing,Valderama,PPG,125.0,TURF - B Course,1200M,4,10,6.675307411100053,6.564623467600748,6.5360559234730395,6.447611710323523,6.440471353108529,H,P,None,None,nan,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,14.0,0.0,0.2978723404255319,0.2857142857142857,2.5
20180110.0,3.0,1.0,106.0,9.0,1.0,12/14/10/11/10,nan,ALCAZAR,A131,S Clipperton,nan,12.0,K L Man,60,+20,1091.0,-6,nan,4.0,-,0.0,1,nan,Cheung Hon Kit Joanna Cheung Wai Sze & Jonathan Cheung Yu Shing,Rio de La Plata,Zarkiyna,PP,133.0,TURF - B Course,1200M,4,12,14,10,11,10,6.440471353108529,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.2356687898089172,0.18556701030927836,2.5
20180110.0,3.0,9.0,20.0,8.0,9.0,5/5/1/10/7/10,nan,CONFUCIUS SPIRIT,S329,A Badel,nan,8.0,F C Lor,46,+2,1072.0,+6,1.10.05,8.0,-,563200.0,1,CP,Confucius Racing Syndicate,Kyllachy,Up And About,PP,119.0,TURF - B Course,1200M,4,5,5,1,10,7,10,CP,None,None,None,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.2727272727272727,4.0,3.0,0.22950819672131148,0.3902439024390244,8.0
20180110.0,3.0,6.0,2.9,7.0,6.0,-/9/3/4/1/5,nan,NASHASHUK,V143,J Moreira,nan,1.0,J Size,51,+28,1098.0,+32,1.10.18,5.0,-,105600.0,* 1,nan,Cris Ng Ka Shuen & Gregory James Holmes,Northern Meteor,Kiss 'N Chase,PPG,124.0,TURF - B Course,1200M,4,6.7237132933375205,9,3,4,1,5,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.16666666666666666,7.0,1.0,0.4896265560165975,0.3772455089820359,5.0
