date,raceNo,horseNo,odds,plc,Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,class,Runs_1,Runs_2,Runs_3,Runs_4,Runs_5,Runs_6,Gear_1,Gear_2,Gear_3,Gear_4,B,H,TT,CP,V,XB,SR,P,PC,E,BO,SB,PS,Sex_c,Sex_f,Sex_g,Sex_h,Sex_r,going_FAST,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_WET SLOW,going_YIELDING,raceCourse_HV,raceCourse_ST,horseRank,SireRank,DamRank,JockeyRank,TrainerRank,HorseMatchRank
20180905.0,1.0,1.0,3.9,3.0,1.0,3/3/5/6/8/10,nan,DUTCH WINDMILL,T288,U Rispoli,nan,1.0,C W Chang,36,+6,1045.0,-13,1.40.82,6.0,-,472650.0,+ 1,TT,Ng Yat Cheung,Dark Angel,Cover Girl,PP,133.0,TURF - B Course,1650M,5,3,3,5,6,8,10,TT,None,None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.375,5.0,3.0,0.3064516129032258,0.19047619047619047,7.0
20180905.0,1.0,2.0,6.6,2.0,2.0,5/10/9/5/2/4,nan,MONEY WINNER,A055,K C Leung,nan,4.0,Y S Tsui,36,-1,1049.0,-8,1.39.82,6.0,-,760725.0,+ 1,nan,Mr & Mrs Lo Chung Yin and Lo Chin Pang,Mastercraftsman,Just A Dream,PPG,133.0,TURF - B Course,1650M,5,5,10,9,5,2,4,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.2857142857142857,3.0,2.0,0.265625,0.4,5.0
20180905.0,1.0,9.0,3.8,1.0,9.0,7/10/7/3/8/4,nan,LE PEGASE,T280,M F Poon,nan,8.0,K H Ting,20,-12,1038.0,-10,1.40.63,6.0,-,865950.0,+ 1,PC,The L & L Racing Syndicate,Flying Spur,Sunday Lady,PPG,112.0,TURF - B Course,1650M,5,7,10,7,3,8,4,PC,None,None,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.3333333333333333,1.0,1.0,0.3392857142857143,0.2588028169014088,6.0
20180912.0,8.0,2.0,7.7,12.0,2.0,1/8/12/11/9/4,nan,LIMITLESS,A115,D Whyte,nan,8.0,C Fownes,91,-2,1125.0,+24,1.39.12,5.0,-,429000.0,1,H/P/TT,Chua Hwa Por,Lope de Vega,Portelet,PP,128.0,TURF - C Course,1650M,2,1,8,12,11,9,4,H,P,TT,None,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.5,8.0,1.0,0.18604651162790697,0.2564102564102564,4.0
20180912.0,8.0,10.0,15.0,11.0,10.0,6/3/11/6,nan,XIANG BAI QI,B336,G van Niekerk,nan,10.0,D E Ferraris,82,+12,988.0,-4,nan,4.0,-,462300.0,1,nan,Koo Ming Kown,Azamour,Hassaya,PP,119.0,TURF - C Course,1650M,2,6,3,11,6,6.6125703564728,6.764367816091961,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.2588028169014083,4.0,1.4867957746478873,0.25880281690140733,0.3013698630136986,6.335387323943662
20180912.0,8.0,11.0,45.0,10.0,11.0,10/5/5/4/10/8,nan,BLOCKER DEE,T374,H N Wong,nan,4.0,C Fownes,81,+9,1237.0,-2,1.39.63,7.0,-,207000.0,2,V/TT,Mr & Mrs Kenneth Au-Yeung Wing,Hidden Dragon,Tycoon Rhythm,PP,115.0,TURF - C Course,1650M,2,10,5,5,4,10,8,V,TT,None,None,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.2553191489361702,0.2564102564102564,2.0
20180912.0,8.0,3.0,12.0,9.0,3.0,3/3/3/1/1/2,nan,LITTERATEUR,V183,N Callan,nan,3.0,R Gibson,91,-5,1100.0,-13,1.39.80,6.0,-,1923000.0,1,CP/H/XB,Ngai Chun Hung & Ngai Wing Yin,Lope de Vega,Lake Moon,PP,128.0,TURF - C Course,1650M,2,3,3,3,1,1,2,CP,H,XB,None,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.7142857142857143,8.0,5.0,0.23076923076923078,0.25,8.0
20180912.0,8.0,1.0,18.0,8.0,1.0,9/6/5/13/8/5,nan,SICHUAN DAR,T375,C Schofield,nan,5.0,A T Millard,96,+11,970.0,-20,1.39.75,7.0,-,409500.0,1,TT,Boniface Ho Ka Kui,Not A Single Doubt,Apocrypha,PP,133.0,TURF - C Course,1650M,2,9,6,5,13,8,5,TT,None,None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.6666666666666666,4.0,2.0,0.21621621621621623,0.3902439024390244,7.0
20180912.0,8.0,5.0,4.0,7.0,5.0,6/4/2/8/1/1,nan,WINNING FAITH,A253,H T Mo,nan,1.0,C S Shum,85,+1,1253.0,+8,1.39.64,5.0,-,633750.0,1,CP/H/TT,Chao Kuang Piu,Star Witness,My Central,PP,117.0,TURF - C Course,1650M,2,6,4,2,8,1,1,CP,H,TT,None,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.6,5.0,3.0,0.24324324324324326,0.3230769230769231,5.0
20180912.0,8.0,8.0,13.0,6.0,8.0,4/1/8/1/2/1,nan,PRETTY BAUHINIA,A135,C Wong,nan,9.0,Y S Tsui,84,+15,1066.0,+22,1.39.54,6.0,-,0.0,1,B,Mr & Mrs Ma Leung,Danzero,Li'l Miss Hayley,PP,111.0,TURF - C Course,1650M,2,4,1,8,1,2,1,B,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.625,9.0,5.0,0.5384615384615384,0.4,6.0
20180912.0,8.0,12.0,41.0,5.0,12.0,1/11/11/5/4/1,nan,JADE FORTUNE,V020,M L Yeung,nan,2.0,K L Man,81,+1,1098.0,-6,1.38.92,6.0,-,1296750.0,1,B/H,Christy Ng Ling Ling,Showcasing,Shades Of Silk,PP,116.0,TURF - C Course,1650M,2,1,11,11,5,4,1,B,H,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.09090909090909091,0.05357142857142857,2.0
20180912.0,8.0,6.0,28.0,4.0,6.0,6/9/9/9/6/5,nan,HELENE CHARISMA,A129,A Sanna,nan,7.0,J Moore,84,-7,1095.0,+30,1.39.75,5.0,-,2262900.0,+ 1,B/TT,Sir Po-shing & Lady Woo Jackson Woo Ka Biu and May Woo,Air Chief Marshal,Lidana,PP,121.0,TURF - C Course,1650M,2,6,9,9,9,6,5,B,TT,None,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.1111111111111111,0.15625,2.0
20180912.0,8.0,7.0,15.0,3.0,7.0,6/9/4/5/3/2,nan,KINGSFIELD,T403,M F Poon,nan,12.0,R Gibson,84,+7,1135.0,-7,1.42.14,7.0,-,1010850.0,2,B-/XB/TT,Edmond Yue Kwok Yin,Time Thief,Gypsy Mai,PP,116.0,TURF - C Course,1650M,2,6,9,4,5,3,2,nan,XB,TT,None,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.2588028169014083,3.2684859154929575,1.4867957746478873,0.3392857142857143,0.25,6.335387323943662
20180912.0,8.0,4.0,4.0,2.0,4.0,2/6/1/8/5/1,nan,TURIN REDSTAR,B092,Z Purton,nan,11.0,F C Lor,87,-8,1083.0,-18,1.39.38,4.0,-,2933250.0,+ 1,CP/TT,Tsoi Huk Yam Ken Huang Jian Hua & Sheldon Tse Hiu Tung,Kyllachy,Meddle,PP,124.0,TURF - C Course,1650M,2,2,6,1,8,5,1,CP,TT,None,None,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1.0,3.0,1.0,0.3924050632911392,0.3076923076923077,9.5
20180912.0,8.0,9.0,6.1,1.0,9.0,2/4/4/7/2/3,nan,CIRCUIT GLORY,A402,K C Leung,nan,6.0,A S Cruz,82,-12,1048.0,+27,1.40.18,5.0,-,3553500.0,1,XB-/H/TT1,Cheung Kwong Kwan & Chadwick Mok Cham Hung,Tavistock,Cinnadream,PP,119.0,TURF - C Course,1650M,2,2,4,4,7,2,3,nan,H,nan,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1.0,7.0,2.0,0.265625,0.36486486486486486,9.5
20180912.0,5.0,3.0,17.0,12.0,3.0,5/1/4/8/11/4,nan,ENORMOUS HONOUR,T236,N Callan,nan,12.0,Y S Tsui,59,+14,1153.0,-1,1.40.13,8.0,-,202400.0,+ 1,B,Mr & Mrs Philip Ng Yuk Wing and Michael Ng Mun Kit,Encosta de Lago,Myrrh,PP,132.0,TURF - C Course,1650M,4,5,1,4,8,11,4,B,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.375,3.0,3.0,0.23076923076923078,0.4,9.0
20180912.0,5.0,2.0,6.9,11.0,2.0,2/2/7/7/7/7,nan,TEN FLAMES,S447,T H So,nan,7.0,L Ho,60,+8,1105.0,-18,1.39.78,8.0,-,64400.0,+ 1,V,Mike Kwok Yu Wah,O'Reilly,Queen To Be,PPG,131.0,TURF - C Course,1650M,4,2,2,7,7,7,7,V,None,None,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.16666666666666666,12.0,1.0,0.14285714285714285,0.27586206896551724,4.5
20180912.0,5.0,6.0,24.0,9.0,6.0,8/6/4/9/10/9,nan,SWEETIE BARLEY,A231,C Y Ho,nan,8.0,C Fownes,54,+7,1064.0,-13,nan,4.0,-,0.0,+ 1,nan,Mr & Mrs Ling Wai Sun and Michael Ling Siu Ming,Requinto,Definite Opinion,PP,125.0,TURF - C Course,1650M,4,8,6,4,9,10,9,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.2588028169014083,3.2684859154929575,1.4867957746478873,0.21153846153846154,0.2564102564102564,6.335387323943662
20180912.0,5.0,5.0,47.0,9.0,5.0,9/9/11/10/11/11,nan,WALDORF,B253,K C Ng,nan,6.0,A S Cruz,58,-16,1073.0,-50,1.41.66,4.0,-,3111900.0,1,B/TT,Peter Young Wai Po,Highly Recommended,Skite,PP,128.0,TURF - C Course,1650M,4,9,9,11,10,11,11,B,TT,None,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.2,0.36486486486486486,2.0
20180912.0,5.0,10.0,6.7,8.0,10.0,6/2/4/6/9/6,nan,ULTIMATE DREAM,A392,D Whyte,nan,10.0,D E Ferraris,47,+1,1030.0,-11,1.40.01,4.0,-,524400.0,+ 1,B/TT,Ultimate Dream Syndicate,Arcano,Miss Azeza,PP,120.0,TURF - C Course,1650M,4,6,2,4,6,9,6,B,TT,None,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.3333333333333333,3.0,1.0,0.18604651162790697,0.3013698630136986,7.5
