B,H,TT,CP,V,XB,SR,P,PC,E,BO,PS,SB,Sex_c,Sex_f,Sex_g,Sex_h,Sex_r,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_YIELDING,raceCourse_HV,raceCourse_ST,Runs_6,Runs_5,Runs_4,Runs_3,Runs_2,Runs_1,TrainerRank,SireRank,horseRank,JockeyRank,Draw,Rtg.+/-,AWT,class,DamRank,HorseMatchRank,Age,Horse Wt. (Declaration),Wt.+/- (vs Declaration)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,13.0,11.0,10.0,12.0,10.0,0.4,1.0,0.25,0.2553191489361702,8.0,13.0,112.0,4.0,1.0,6.0,4.0,958.0,5.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,5.0,8.0,4.0,8.0,0.3013698630136986,1.0,0.25,0.52,3.0,22.0,133.0,4.0,1.0,6.0,7.0,1022.0,4.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,10.0,10.0,7.0,7.0,3.0,0.2222222222222222,1.0,0.125,0.16216216216216217,4.0,11.0,123.0,4.0,1.0,3.0,7.0,1072.0,13.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,10.0,12.0,4.0,5.0,8.0,0.19047619047619047,5.0,0.0,0.1509433962264151,5.0,12.0,114.0,2.0,0.0,3.0,8.0,1117.0,-9.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,11.0,9.0,4.0,12.0,5.0,0.3230769230769231,1.0,0.0,0.3170731707317073,2.0,7.0,124.0,2.0,0.0,3.0,7.0,1148.0,12.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,8.0,1.0,4.0,11.0,0.2564102564102564,0.0,0.0,0.06896551724137931,6.0,14.0,120.0,2.0,0.0,3.0,5.0,1205.0,-12.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,13.0,4.0,4.0,2.0,1.0,0.14814814814814814,5.0,0.0,0.3924050632911392,11.0,1.0,119.0,2.0,0.0,3.0,5.0,1099.0,17.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,9.0,3.0,4.0,4.0,4.0,0.36486486486486486,0.0,0.0,0.18604651162790697,10.0,2.0,128.0,2.0,0.0,3.0,6.0,1169.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,11.0,8.0,12.0,0.3013698630136986,3.0,0.2,0.3064516129032258,9.0,9.0,118.0,2.0,1.0,6.0,7.0,1133.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,4.0,7.0,1.0,6.0,0.2222222222222222,3.0,0.5,0.3392857142857143,1.0,9.0,126.0,2.0,1.0,9.0,6.0,1184.0,-6.0
