date,raceNo,horseNo,odds,plc,Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,class,Runs_1,Runs_2,Runs_3,Runs_4,Runs_5,Runs_6,Gear_1,Gear_2,Gear_3,Gear_4,Gear_5,B,H,TT,CP,V,XB,SR,P,PC,E,BO,SB,PS,Sex_c,Sex_f,Sex_g,Sex_h,Sex_m,Sex_r,going_FAST,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_WET FAST,going_WET SLOW,going_YIELDING,raceCourse_HV,raceCourse_ST,horseRank,SireRank,DamRank,JockeyRank,TrainerRank,HorseMatchRank
20180902.0,8.0,5.0,24.0,1.0,5.0,10/2/4/3/6/10,nan,HANG'S DECISION,T262,K C Leung,nan,7.0,W Y So,72,-2,1117.0,+14,1.20.31,7.0,-,1973400.0,1,B/H,Wong Yuet Sing & Tony Wong Sze Ho,Postponed,Bislieri,PPG,125.0,TURF - B Course,1400M,3,10,2,4,3,6,10,B,H,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.25,10.0,4.0,0.1759656652360515,0.21161825726141079,2.5
20180902.0,6.0,12.0,102.0,11.0,12.0,12/12/12/10/12/10,nan,SPICY KAKA,V323,M Chadwick,nan,10.0,K L Man,46,+1,1189.0,+15,1.22.79,5.0,-,363400.0,1,B/TT,Kathleen Shi Pui Ka,Excellent Art,Cheap Thrills,ISG,118.0,TURF - B Course,1400M,4,12,12,12,10,12,10,B,TT,None,None,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1.0,0.0,0.13815789473684212,0.19658119658119658,2.5
20180902.0,6.0,5.0,80.0,10.0,5.0,5/13/10/7/10/12,nan,GORGEOUS AGAIN,V326,H T Mo,nan,8.0,C S Shum,54,+21,1102.0,+10,1.22.71,6.0,-,193200.0,1,B/H/TT2,Mr & Mrs Yip Kong Wah,Fastnet Rock,Ocean Pearl,ISG,121.0,TURF - B Course,1400M,4,5,13,10,7,10,12,B,H,nan,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,15.0,0.0,0.22115384615384615,0.2236842105263158,2.5
20180902.0,6.0,1.0,7.5,9.0,1.0,6/7/9/8/5/6,nan,CHEERFUL BOY,V019,K C Leung,nan,11.0,K H Ting,60,-3,1075.0,-16,1.22.13,7.0,-,524400.0,+ 1,B/TT,Wong Ho Yam,Road To Rock,Hanabananah,PP,132.0,TURF - B Course,1400M,4,6,7,9,8,5,6,B,TT,None,None,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.16666666666666666,1.0,1.0,0.1759656652360515,0.22666087711680713,5.0
20180902.0,6.0,4.0,38.0,8.0,4.0,6/4/9/10/9/9,nan,SWEETIE BARLEY,A231,C Wong,nan,9.0,C Fownes,56,+9,1077.0,+17,1.25.27,4.0,-,0.0,+ 1,nan,Mr & Mrs Ling Wai Sun and Michael Ling Siu Ming,Requinto,Definite Opinion,PP,118.0,TURF - B Course,1400M,4,6,4,9,10,9,9,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.28,0.13725490196078433,2.5
20180902.0,6.0,3.0,11.0,7.0,3.0,1/10/2/2/1/5,nan,VIVA COUNCIL,A190,M F Poon,nan,2.0,L Ho,57,-2,1111.0,-5,1.21.81,5.0,-,1032700.0,+ 1,H,Dominic Chung Won Lok,O'Reilly,Holiday In Goa,PPG,124.0,TURF - B Course,1400M,4,1,10,2,2,1,5,H,None,None,None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.5,33.0,4.0,0.24390243902439024,0.1807909604519774,9.0
20180902.0,6.0,6.0,3.0,6.0,6.0,2/3/5/2/11/3,nan,STRATHSPEY,A271,G van Niekerk,nan,6.0,A T Millard,54,+2,1154.0,+17,1.22.66,4.0,-,0.0,1,B,Mr & Mrs Iain Bruce,O'Reilly,Pin High,PPG,126.0,TURF - B Course,1400M,4,2,3,5,2,11,3,B,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0,33.0,1.0,0.22666087711680669,0.23834196891191708,11.0
20180902.0,6.0,8.0,11.0,5.0,8.0,7/2/9/2/11/5,nan,FRESH POWER,B067,M L Yeung,nan,3.0,Y S Tsui,51,-3,1013.0,0,1.21.66,5.0,-,855600.0,+ 1,B/TT,Alan Wong Chi Kei & Oscar Wong Wing Lun,Makfi,Bannisters,PPG,121.0,TURF - B Course,1400M,4,7,2,9,2,11,5,B,TT,None,None,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.25,7.0,1.0,0.15025906735751296,0.20522388059701493,6.0
20180902.0,6.0,10.0,9.3,4.0,10.0,11/6/12/14/4/9,nan,A BEAUTIFUL,T421,D Whyte,nan,12.0,W Y So,50,0,1088.0,+17,1.21.99,7.0,-,579600.0,+ 1,B/TT,Sandia Yit Lau Ying Lam & Yit Kwok Leung,Bushranger,Anfield,PP,122.0,TURF - B Course,1400M,4,11,6,12,14,4,9,B,TT,None,None,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.375,6.0,6.0,0.2109704641350211,0.21161825726141079,7.0
20180902.0,6.0,11.0,8.8,3.0,11.0,5/6/5/6/5,nan,GOLDEN FOUR,B225,U Rispoli,nan,7.0,C W Chang,46,-7,1004.0,-4,1.22.68,4.0,-,1242000.0,+ 1,H,Lau Chi Kit Tony Lee Kevin Law Hau Wai & John Lo Wah Shing,Denman,Gingerbread,PPG,118.0,TURF - B Course,1400M,4,5,6,5,6,5,6.618059792556327,H,None,None,None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,12.0,0.0,0.2116788321167883,0.16470588235294117,2.5
