raceNo,Horse No.,Horse,draw,pred_finish_time,pred_plc
7,6,MORETHANLUCKY,10,2.0694175313966832e+17,9.0
7,13,WICHITA LINESMAN,2,2.0694175313966832e+17,9.0
7,3,MISTER KAOPU,4,2.0694175313966835e+17,12.0
7,11,LEAN PERFECTION,1,2.0694175313966835e+17,12.0
7,5,MISSION TYCOON,11,2.0694175313966867e+17,13.0
7,7,ENCOURAGING,7,2.069417531396687e+17,14.0
8,10,CALIFORNIA GUNGHO,9,68780.0,1.0
8,1,TEAM SPIRIT,12,68932.0,2.0
8,11,CHARIZARD,8,69092.0,3.0
8,7,NORDIC WARRIOR,3,69248.0,4.0
8,9,AEROHAPPINESS,10,69340.0,5.0
8,4,SUPER MISSILE,6,69658.0,6.0
8,8,FIRST RESPONDER,5,69688.0,7.0
8,6,UNIQUE TREASURE,1,69700.0,8.0
8,5,SHARP STYLE,2,69748.0,9.0
8,2,UTOPIA LIFE,11,69758.0,10.0
8,12,THE JUDGE,4,69924.0,11.0
8,3,SPACE,7,70426.0,12.0
9,6,SPEED VISION,14,55182.0,1.0
9,11,SPEEDY KING,10,55306.0,2.0
9,9,FABULOUS ONE,7,56126.0,3.0
9,4,SAUL'S SPECIAL,9,56146.0,4.0
9,7,BALTIC WHISPER,2,56146.0,4.0
9,10,MONTREAL,1,56182.0,6.0
9,3,RAGING STORM,11,56198.0,7.0
9,13,HINCHINLOVE,12,56230.0,8.0
9,2,CALIFORNIA WHIP,13,56250.0,9.0
9,14,JADE THEATRE,3,56414.0,10.0
9,8,SUPER TURBO,4,56426.0,11.0
9,5,REFINED TREASURE,5,56522.0,12.0
9,1,JUMBO LUCK,8,56658.0,13.0
9,12,BREEDERS' STAR,6,56830.0,14.0
10,11,MIGHTY MAVERICK,13,81814.0,1.0
10,6,GUY DRAGON,1,82044.0,2.0
10,2,HONEST WAY,14,82068.0,3.0
10,7,FARSHAD,6,82440.0,4.0
10,4,MORE THAN THIS,5,82460.0,5.0
10,8,PICKEN,8,82476.0,6.0
10,12,BAND OF BROTHERS,9,82562.0,7.0
10,13,AMAZING CHOCOLATE,4,82612.0,8.0
10,1,CALIFORNIA TURBO,10,82660.0,9.0
10,3,MR ALDAN,3,82668.0,10.0
10,5,BABY,12,82812.0,11.0
10,14,SPIRIT,2,83172.0,12.0
10,9,SHOUSON,7,83376.0,13.0
10,10,WINNING ENDEAVOUR,11,83642.0,14.0
