raceNo,Horse No.,Horse,draw,pred_finish_time,pred_plc
4,11,MULTIMAX,11,4.804784307424209e+16,6.0
4,2,COLORADO HIGH,12,4.804784307424257e+16,7.0
4,8,BLADE RACER,3,4.8047843074242696e+16,8.0
4,12,VERY SWEET ORANGE,4,4.8047843074242744e+16,9.0
4,3,MCMUNIGAL,5,4.804784307424278e+16,10.0
4,9,LET'S COME BACK,6,4.804784307424302e+16,11.0
4,6,CHARITYDREAM,9,4.804784307424382e+16,12.0
5,2,GENERAL DINO,3,4.804784307428094e+16,1.0
5,3,GREAT TREASURE,10,4.8047843074281384e+16,2.0
5,11,ENJOYABLE SUCCESS,13,4.8047843074281576e+16,3.0
5,9,BUNDLE OF ENERGY,1,4.80478430742816e+16,4.0
5,6,ENFOLDING,9,4.804784307428181e+16,5.0
5,8,HOLY UNICORN,6,4.804784307428187e+16,6.0
5,7,CROWN AVENUE,7,4.8047843074281896e+16,7.0
5,5,BRING IT ON,4,4.80478430742819e+16,8.0
5,4,FAITHFUL TRINITY,12,4.804784307428194e+16,9.0
5,1,KING'S MAN,2,4.804784307428222e+16,10.0
5,12,GOLDEN KID,5,4.804784307428238e+16,11.0
5,13,LUCKY SHINY DAY,11,4.804784307428251e+16,12.0
5,10,WHISKY KNIGHT,8,4.804784307428309e+16,13.0
6,2,TURIN REDSTAR,7,4.804784307427116e+16,1.0
6,5,GLORIOUS ARTIST,5,4.8047843074271656e+16,2.0
6,7,ROYAL PERFORMER,8,4.804784307427206e+16,3.0
6,8,STIMULATION,6,4.8047843074272104e+16,4.0
6,3,RAGING BLITZKRIEG,9,4.804784307427213e+16,5.0
6,9,PEOPLE'S KNIGHT,2,4.8047843074272376e+16,6.0
6,10,PACKING WARRIOR,4,4.804784307427283e+16,7.0
6,6,PARTY TOGETHER,3,4.804784307427284e+16,8.0
6,4,GOOD OMEN,1,4.804784307427306e+16,9.0
7,11,COBY OPPA,11,4.804784307424128e+16,1.0
7,3,JUST NOT LISTENING,1,4.80478430742413e+16,2.0
7,5,JOYFUL MOMENTS,10,4.804784307424172e+16,3.0
7,1,ENCORE BOY,6,4.804784307424205e+16,4.0
7,9,CASA DE FORCA,12,4.804784307424206e+16,5.0
7,10,HAPPY FUN,5,4.804784307424207e+16,6.0
7,8,MASSIVE POCKET,7,4.804784307424209e+16,7.0
7,12,CAO CAO,2,4.804784307424213e+16,8.0
7,4,FANTASTIC FABIO,9,4.804784307424215e+16,9.0
7,2,MEGA RED,4,4.804784307424221e+16,10.0
7,6,HANDSOME REBEL,3,4.804784307424226e+16,11.0
7,7,E GENERATION,8,4.804784307424336e+16,12.0
8,7,PING HAI TREASURE,10,4.804784307427168e+16,1.0
8,3,HANG'S DECISION,13,4.804784307427238e+16,2.0
8,13,IMPERIAL CONCORDE,5,4.80478430742724e+16,3.0
8,11,NUCLEAR POWER,11,4.804784307427242e+16,4.0
8,9,FAMOUS WARRIOR,9,4.804784307427243e+16,5.0
8,10,MONGOLIAN LEGEND,3,4.80478430742725e+16,6.0
8,14,TANG FLEMING,7,4.80478430742725e+16,6.0
8,4,OWNERS' STAR,14,4.804784307427256e+16,8.0
8,2,CHUNG WAH SPIRIT,4,4.804784307427261e+16,9.0
8,8,GAMEPLAYER EMPEROR,2,4.804784307427262e+16,10.0
8,5,VOLPINO,1,4.804784307427274e+16,11.0
8,12,WILLIE WAY,8,4.804784307427301e+16,12.0
8,6,DRAGON COMMANDER,12,4.804784307427344e+16,13.0
8,1,JADE FORTUNE,6,4.80478430742735e+16,14.0
